title,DICD,total_profit,Name
도가니,10090050,35566892800,황동혁
"마이 파더",10090050,5641848000,황동혁
"아이 캔 스피크",10087180,25539734986,하원준
"뜨거운 안녕",10087180,315291000,하원준
"뚜르: 내 생애 최고의 49일",20215847,208911200,김양래
7호실,20112022,2677284639,이용승
"터닝메카드W: 블랙미러의 부활",20188062,3215588500,김석원
"쩨쩨한 로맨스",10004439,15800299000,김상찬
복면달호,10004439,9008143000,김상찬
"첼로-홍미주 일가 살인사건",10004439,985067500,김상찬
가족,10004439,8051239500,김상찬
가족,10004439,1073144500,김상찬
"안녕! 유에프오",10004439,250534000,김상찬
...ing,10004439,217269000,김상찬
귀향,10066934,27248705990,조정래
파울볼,10066934,235292500,조정래
두레소리,10066934,234535500,조정래
부라더,20110174,11783109998,장유정
"김종욱 찾기",20110174,8208944000,장유정
그물,10003696,426257300,김기덕
"배우는 배우다",10003696,811844000,김기덕
뫼비우스,10003696,255508579,김기덕
피에타,10003696,4355592500,김기덕
풍산개,10003696,5395201500,김기덕
비몽,10003696,595238500,김기덕
"영화는 영화다",10003696,8967441000,김기덕
빈집,10003696,456077000,김기덕
사마리아,10003696,285182500,김기덕
그물,20292035,426257300,서지운
"소중한 날의 꿈",20111258,361431100,안재훈
게이트,10037252,821271100,송창용
"구세주 2",10037252,773088000,송창용
"만남의 광장",10037252,7819284000,송창용
구세주,10037252,10087308700,송창용
"사랑하기 때문에",10090165,2673489440,황승재
국가대표,10090165,57570773000,황승재
"구세주 2",10090165,773088000,황승재
메소드,10029969,216276800,방은진
장수상회,10029969,8737864643,방은진
"집으로 가는 길",10029969,13049026745,방은진
용의자X,10029969,11241013000,방은진
"오로라 공주",10029969,5365343000,방은진
용의자,10029121,30037161000,박재영
"두 개의 문",10089864,488796800,홍지유
"밤의 해변에서 혼자",10089497,439840592,홍상수
지금은맞고그때는틀리다,10089497,664322100,홍상수
"자유의 언덕",10089497,318581827,홍상수
"우리 선희",10089497,530265400,홍상수
"누구의 딸도 아닌 해원",10089497,273384900,홍상수
다른나라에서,10089497,237013700,홍상수
북촌방향,10089497,365477200,홍상수
"옥희의 영화",10089497,281740900,홍상수
하하하,10089497,428376400,홍상수
"잘 알지도 못하면서",10089497,274134500,홍상수
"해변의 여인",10089497,835941500,홍상수
극장전,10089497,262191500,홍상수
"여자는 남자의 미래다",10089497,778685500,홍상수
가면,20290569,2139483000,김성문
"위험한 상견례",20241988,19174920500,하명미
"슈퍼맨이었던 사나이",20241988,3642176500,하명미
