﻿pro_rank,title,open_date,total_profit,ticket,total_ticket,screen,screen_shot,make_c,dist_c,mov_class,genre,director,actor,actorS,D,DsumP,DavgP,DminP,DmaxP,mc,MsumP,MavgP,MminP,MmaxP,A,AsumP,AavgP,AminP,AmaxP,Ass,ASsumP,ASavgP,ASminP,ASmaxP
264,청춘만화,2006.3.23,9785168000,1567514,1567514,298,32939,㈜팝콘필름,(주)쇼박스,12세관람가,"코미디,멜로/로맨스",이한,권상우,김하늘,이한,74421132587,14884226517,6315244000,38532269000,㈜팝콘필름,37974628500,7594925700,1797632500,17497165500,권상우,38810490973,9702622743,3837152000,20463956973,김하늘,17004806000,5668268667,3409535000,9785168000
375,체포왕,2011.5.4,6413325500,870887,870887,407,32545,(주)씨네이천,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"코미디,액션",임찬익,박중훈,이선균,임찬익,6413325500,6413325500,6413325500,6413325500,(주)씨네이천,88153649881,11019206235,253673000,39869706381,박중훈,29474762000,4912460333,362910000,9860797500,이선균,52239308639,8706551440,273384900,34222160500
767,첼로-홍미주 일가 살인사건,2005.8.18,985067500,158318,158318,124,6573,탁함 필름,(주)튜브엔터테인먼트,15세관람가,공포(호러),이우철,성현아,박다안,이우철,5897726015,2948863008,985067500,4912658515,탁함 필름,985067500,985067500,985067500,985067500,성현아,8259677500,2753225833,625824000,6648786000,박다안,985067500,985067500,985067500,985067500
173,초능력자,2010.11.10,15374798000,2130645,2130645,612,58009,영화사 집,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"SF,드라마",김민석,강동원,김한나,김민석,15374798000,15374798000,15374798000,15374798000,영화사 집,2.51054E+11,27894937454,6256243213,58068236865,강동원,96858736400,12107342050,1859615500,44092710000,김한나,16259732300,8129866150,884934300,15374798000
361,최강로맨스,2007.1.25,6931136500,1190703,1190703,253,26656,"㈜더드림앤드픽쳐스,(주)디알엠엔터테인먼트",(주)쇼박스,15세이상관람가,"멜로/로맨스,코미디",김정우,이동욱,현영,김정우,17018445200,8509222600,6931136500,10087308700,"㈜더드림앤드픽쳐스,(주)디알엠엔터테인먼트",12657310200,6328655100,5726173700,6931136500,이동욱,7518310000,3759155000,587173500,6931136500,현영,6931136500,6931136500,6931136500,6931136500
739,최강전사 미니특공대 : 새로운 악당의 습격,2015.2.5,1171479200,155348,155348,318,4610,(주)삼지애니메이션,에이원엔터테인먼트,전체관람가,애니메이션,이영준,엄상현,전태열,이영준,2308988820,769662940,264189420,1171479200,(주)삼지애니메이션,2308988820,769662940,264189420,1171479200,엄상현,2985029320,597005864,264189420,1171479200,전태열,1435668620,717834310,264189420,1171479200
786,최강전사 미니특공대: 영웅의 탄생,2016.2.4,873320200,116531,116531,349,4780,(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,애니메이션,이영준,엄상현,양정화,이영준,2308988820,769662940,264189420,1171479200,(주)삼지애니메이션,2308988820,769662940,264189420,1171479200,엄상현,2985029320,597005864,264189420,1171479200,양정화,3008967500,1504483750,873320200,2135647300
866,최악의 하루,2016.8.25,505103590,63026,63026,199,4220,㈜인디스토리,CGV아트하우스,15세이상관람가,멜로/로맨스,김종관,한예리,이와세 료,김종관,505103590,505103590,505103590,505103590,㈜인디스토리,1216008665,608004332.5,505103590,710905075,한예리,505103590,505103590,505103590,505103590,이와세 료,790492548,395246274,285388958,505103590
32,최종병기 활,2011.8.10,55827861500,7470633,7470633,615,130054,"(주)디씨지플러스,(주)다세포클럽",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"사극,액션",김한민,박해일,류승룡,김한민,3.4213E+11,68425946300,4221938000,1.35753E+11,"(주)디씨지플러스,(주)다세포클럽",55827861500,55827861500,55827861500,55827861500,박해일,96168582346,16028097058,470675000,55827861500,류승룡,4.37076E+11,54634522846,230047000,1.35753E+11
72,추격자,2008.2.14,33986449500,5045983,5045983,433,106799,(주)영화사비단길,(주)쇼박스,청소년관람불가,"범죄,스릴러,액션",나홍진,김윤석,하정우,나홍진,1.07347E+11,35782378461,17497165500,55863520382,(주)영화사비단길,1.20325E+11,17189277792,329280000,46593140500,김윤석,4.07696E+11,31361226474,5970851500,93665632500,하정우,90608491000,22652122750,2586052500,36538823500
