pro_rank,title,open_date,profit,percent,total_profit,ticket,total_ticket,screen,screen_shot,make_c,dist_c,mov_class,genre,director,actor
282,궁녀,2007.10.18,9038167500,1.00%,9038167500,1358883,1358883,368,42096,(주)영화사아침,(주)시네마서비스,청소년관람불가,"미스터리,스릴러",김미정,"박진희,윤세아,김남진,김미경,김윤아,류정아,김현아,김유라,임정은,정예지,박정민,김은서,박소희,정재근,오진석,유지연,문가영,서영희,김학선,이은지,예수정"
283,복면달호,2007.2.14,9008143000,1.00%,9008143000,1507970,1507970,310,41977,"(주)인앤인픽쳐스,㈜스튜디오이쩜영",㈜스튜디오이쩜영,12세이상관람가,"코미디,드라마","김상찬,김현수","차태현,임채무,이소연,정석용,이병준,조영호,최현주,박진영,권유진,우지은,문희주,채수미,유정현,유혜선,임세미,박아름,이시연,김기현,아용주"
284,"영화는 영화다",2008.9.11,8967441000,0.90%,8967441000,1311118,1311118,315,37341,"(주)김기덕 필름,염화미소",㈜스튜디오이쩜영,청소년관람불가,"액션,드라마,범죄",장훈,"소지섭,강지환,홍수현,고창석,허태희,김태웅,곽희원,박상진,김소리,임석규,윤정진,오호진,송용태,한기중,배용근,정만식,김민교,공정환"
285,빅매치,2014.11.27,8952096578,0.50%,8952096578,1177438,1177438,627,38529,(주)보경사,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,액션,최호,"이정재,신하균,이성민,보아,김의성,손호준,강정원,김근배,김재철,김종선,남성호,박상현,안병래,이상헌,이재남,이재훈,이종현,이진민,정현진,배성우,맹상훈,최우식,조덕제,김윤성,박지환"
286,간신,2015.5.21,8946889910,0.50%,8946889910,1110255,1110255,697,40583,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,사극,민규동,"주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이상철,이소희,이솔,이슬기,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류선영,김강일,정만식,최일화,전여빈"
287,"슬로우 비디오",2014.10.2,8909500219,0.50%,8913092219,1169031,1169562,618,40663,"이십세기폭스 인터내셔널 프로덕션,(주)영화사AK기쁜우리젊은날",이십세기폭스코리아(주),12세이상관람가,"드라마,코미디",김영탁,"차태현,남상미,오달수,고창석,진경,유영,김강현,최성원,이준혁,이용감,이윤수,정다이,정지연,현창조,김상철,김용구,류혜영,조덕제,안길강,장성범,황승언"
288,"미씽: 사라진 여자",2016.11.30,8882181256,0.50%,8882181256,1153201,1153201,790,40625,다이스필름(주),메가박스중앙(주)플러스엠,15세이상관람가,미스터리,이언희,"서하늬,엄지원,공효진,강태수,김광호,김석태,김용철,김해일,서인덕,안재만,고준"
289,동주,2016.2.17,8870143589,0.50%,8870143589,1169335,1169335,543,39888,"(주) 루스이소니도스",메가박스중앙(주)플러스엠,12세이상관람가,드라마,이준익,"강하늘,박정민,김인우,최홍일,김정석,최희서,신윤주,문성근,최종률,전재형,정운봉,이선주,허욱진,최정헌,윤정일"
290,"킹콩을 들다",2009.7.1,8851802500,0.90%,8851802500,1262858,1262858,411,42631,"(주)알지엔터웍스,(주)씨엘엔터테인먼트",(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,박건용,"이범수,조안,김민영,송재희,박준규,박지은,박진희,박찬희,김범식,김기준,이범렬,이범석,최규영,유나리,박기영,이희경,장미성,전병관,임동찬,임동철,최영주,이주일,이창호,이인자,이종희,변희봉,신정근,기주봉,우현"
291,조폭마누라3,2006.12.28,8851336500,1.00%,8851336500,1468191,1468191,372,28923,,(주)쇼박스,15세이상관람가,"액션,코미디",조진규,"최령,이범수,서기,심정호,안광남,김도영,민성주,임결향,오지명,오복연,김준형,김병춘,지대한,조희봉"
292,"검은 집",2007.6.21,8842295700,1.00%,8842295700,1322196,1322196,332,39880,"씨제이엔터테인먼트,가도카와헤럴드픽쳐스",씨제이엔터테인먼트,청소년관람불가,"스릴러,미스터리,공포(호러)",신태라,"김혜정,황정민,유선,송찬호,최정자,강신일,최찬민,김상택,이승은,양홍준,유지연,손호승,윤재성,문가영,이해영,유승목,이주실"
293,"날, 보러와요",2016.4.7,8836144063,0.50%,8836144063,1063442,1063442,683,49237,"(주)오에이엘,(주)발렌타인필름",메가박스중앙(주)플러스엠,청소년관람불가,"미스터리,스릴러",이철하,"강예원,이상윤,최진호,지대한,김종수,이학주,장태성,유건,길해연,조재윤,이형석,박송해,정경일,안용우,안지혜,안지혜,최낙영,이규호,이상백,이승진,김호원"
294,"돈의 맛",2012.5.17,8780178611,0.70%,8780178611,1166018,1166018,643,36922,휠므빠말주식회사,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",청소년관람불가,드라마,임상수,"김강우,백윤식,윤여정,김효진,온주완,권병길,황정민,양재준,김응수,정원중"
295,"바람의 파이터",2004.8.12,8769832000,5.50%,8769832000,1381083,1381083,110,13453,아이비젼엔터테인먼트(주),영화사청어람(주),12세관람가,액션,양윤호,"양동근,히라야마 아야,허명행,정두홍,송혁재,주경탁,김대우,김규현,이호식,김순재,김영주,양길영,이경원,정태우,이한솔"
296,"거룩한 계보",2006.10.19,8759204600,0.90%,8759204600,1433696,1433696,372,32113,(주)시네마서비스글로벌,씨제이엔터테인먼트,15세관람가,"드라마,액션",장진,"정재영,정준호,김성훈,김상일,주진모,박용민,김향배,박지형,장아람,김광현,김규철,김도희,김성진,임도영,정용수,이승영,오창렬,이영준,이정민,장영남,이철민,이한위,이해영,윤유선"
297,장수상회,2015.4.9,8737864643,0.50%,8737864643,1165864,1165864,688,52929,"(주)빅픽쳐,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,드라마",강제규,"박해빛나,박근형,윤여정,조진웅,한지민,황우슬혜,문가영,찬열,장문규,이준혁,윤소희,백일섭,박소연,이제욱,강석민,박지혜,정해인,최대영,최승훈,송동규,유원준,유원준,윤상훈,윤여정,이강희,임하룡,홍성일,이보영,이상수,이수지,이언정,김재화,남문철,박나예,남명렬"
298,"성난 변호사",2015.10.8,8723650039,0.50%,8723650039,1128288,1128288,607,36990,"씨제이이앤엠(주),(주)영화사 빛나는 제국,우수영화사",씨제이이앤엠(주),15세이상관람가,"범죄,액션",허종호,"오상철,이선균,김고은,임원희,장현성,최재웅,김윤혜,홍성덕,배유람,권귀덕,조경섭,조경섭,정진근,장명진,이확광,이형섭,이은택,이수민,이기창,유영진,김현정,노영화,송원종,박지영"
