avgP,minP,maxP,sumP,actorCD,Name
3096432614.5000,285388958,6306680500,12385730458,10058918,임형국
1359190666.6667,718090000,1927358500,4077572000,20127460,이선호
14110639989.5714,389374500,57530028417,395097919708,10070602,진용욱
17328947262.4444,1927358500,82871781800,155960525362,10060144,장리우
13829768531.5000,417495600,27242041463,27659537063,20162224,이익준
17106411870.0769,284106600,63783051326,222383354311,10001907,공정환
3434148205.7500,2329754965,5012916263,13736592823,20112288,한주영
15577400659.6000,5012916263,43488814535,77887003298,20308509,김규선
18044217632.0000,18044217632,18044217632,18044217632,20307170,서은수
16444567960.0000,1220941000,105169264250,230223951440,10001457,고규필
19497680979.7500,522848900,50510565168,77990723919,20307169,장성범
46573422370.5000,2892681205,66372140706,186293689482,20305129,박해수
7121383088.7500,273384900,27242041463,28485532355,20147123,안선영
3585934900.0000,2247017000,4924852800,7171869800,20181903,이재인
12046560373.6667,1302907128,23130188893,36139681121,20302569,강두
10579273625.8889,773088000,22486492000,95213462633,20145117,송지인
7925363236.0000,493278500,27007303900,63402905888,10040291,신동미
21442169144.0000,21442169144,21442169144,21442169144,20301569,위하준
3637297980.0000,253673000,15655329500,18186489900,10005043,김영호
6538927100.0000,6538927100,6538927100,6538927100,20306438,김두용
6538927100.0000,6538927100,6538927100,6538927100,20306437,임정길
6538927100.0000,6538927100,6538927100,6538927100,20306436,김상백
2925969866.6667,1090835800,6538927100,8777909600,20237909,이현
6538927100.0000,6538927100,6538927100,6538927100,20277649,한신
6538927100.0000,6538927100,6538927100,6538927100,20306435,안소이
6538927100.0000,6538927100,6538927100,6538927100,20306434,민응식
6538927100.0000,6538927100,6538927100,6538927100,20281069,위훈
6538927100.0000,6538927100,6538927100,6538927100,20245509,사문영
2004142312.0000,251079500,6538927100,20041423120,10047326,엄상현
4916340400.0000,3293753700,6538927100,9832680800,10089485,홍범기
2547059600.0000,640343800,6538927100,10188238400,20162319,양정화
6538927100.0000,6538927100,6538927100,6538927100,20237906,이지현
3319505433.0000,3319505433,3319505433,3319505433,20308138,임지환
14235870177.5000,1229698892,27242041463,28471740355,20302909,김다미
18390012500.0000,18390012500,18390012500,18390012500,20228371,"헨릭 라파엘센"
18390012500.0000,18390012500,18390012500,18390012500,20228370,"엘렌 도리트 페테르센"
18459203000.0000,18459203000,18459203000,18459203000,20307789,김성태
24173591465.9091,240262112,98463522781,265909506125,10066380,조승우
3326439772.0000,3326439772,3326439772,3326439772,20307730,강말금
17038639000.0000,17038639000,17038639000,17038639000,10047331,엄앵란
18155398279.0000,4376240500,33986449500,72621593116,10005814,김지미
5107435482.5000,2329754965,7885116000,10214870965,10072250,최민수
4141232500.0000,2474641500,5807823500,8282465000,10035631,서지혜
3219116312.0000,1927358500,5680873500,12876465248,10029463,박한별
16169444363.3333,1430079500,34881330905,97016666180,20066637,송지효
3359163950.0000,3106648400,3611679500,6718327900,10060538,장진영
733438500.0000,655033000,811844000,1466877000,10058245,이화시
6552928832.5000,542739500,19822839764,26211715330,20112261,김지원
2466862280.0000,392591200,5379208500,12334311400,10070252,지현우
38266297419.4000,426257300,95868830649,191331487097,20115207,최귀화
21672168132.9091,1642407500,56598333057,238393849462,20134255,조우진
9771282104.6364,976008100,54035565100,107484103151,20220846,김영옥
29507584917.2500,2685519021,93042352648,118030339669,10043550,안소희
11820072056.1250,322062200,62697419249,94560576449,10029093,박인환
13177264740.1538,728085000,77319445264,171304441622,20233528,한재영
9414134529.0000,2296093000,20143992587,28242403587,20187851,지창욱
459533500.0000,459533500,459533500,459533500,20156854,임수향
18064632163.2857,951843500,43488814535,252904850286,20156304,김소진
20773890239.4545,311840500,105169264250,228512792634,10004210,김민재
28970683959.6111,349943500,135753322310,521472311273,20164537,이해영
694021380.0000,426257300,961785460,1388042760,20162795,이원근
22381551702.0000,961785460,105169264250,111907758510,10053902,유인영
12291402405.7500,1185999000,25411823400,49165609623,10058796,임주환
2673489440.0000,2673489440,2673489440,2673489440,10035748,선우용녀
7383560978.3333,2564487300,16912706195,22150682935,10035681,서현진
3912256833.3333,3222783000,5207878000,11736770500,10054355,윤소이
14883917825.0000,6204129964,23563705686,29767835650,20234546,이유비
11839849710.0000,284073700,43484892913,94718797680,20161741,박해준
21120949460.6667,811692000,55863520382,63362848382,20235266,김환희
13396807630.3333,303851500,66014775400,120571268673,10060605,장항선
4890610048.0000,1538400500,9739662144,14671830144,10029949,성준
10494768945.0000,10494768945,10494768945,10494768945,20215846,이기홍
3134729029.5000,217269000,4754763118,12538916118,20111403,이미숙
12613937345.1667,515508500,28811011456,75683624071,20137818,안서현
1436420275.0000,426257300,2586052500,5745681100,10004973,김영민
495574500.0000,495574500,495574500,495574500,20173721,배소은
13161718605.3333,9752555296,18044217632,39485155816,20128311,김영광
5451201504.6667,230206600,11515559845,32707209028,10028490,박근형
13482159692.0000,8870143589,18094175795,26964319384,10072221,최희서
2946057325.0000,263049900,4886772800,11784229300,10067455,조현철
4393092154.4000,2297005000,7652767000,21965460772,10030226,배종옥
15160126556.7778,311840500,48844889501,136441139011,20112423,전혜진
284073700.0000,284073700,284073700,284073700,20233766,정가람
7338907757.7500,273950500,44098470600,146778155155,10036828,손병호
25937216000.0000,25937216000,25937216000,25937216000,20176849,조동인
16364603618.1000,2119494000,110933981730,163646036181,20150459,김선영
695875600.0000,392591200,999160000,1391751200,10006194,김학철
19546993495.5000,17718699499,21375287492,39093986991,20215606,설현
11560473685.0000,1006594000,26909477678,57802368425,10057104,이일화
4714345098.0000,4714345098,4714345098,4714345098,20215507,"스티븐 연"
11415660655.6667,326980700,19330302500,68493963934,20110875,박지영
1137666247.0000,1137666247,1137666247,1137666247,20301338,이마붑
17673107185.0000,263049900,66372140706,212077286220,10003788,김남길
13661505750.0000,13403595000,13919416500,27323011500,20156562,윤채영
1246037750.0000,1067080000,1424995500,2492075500,10057464,이인
2816190000.0000,2816190000,2816190000,2816190000,10026736,방중현
13424000962.6667,4751661400,23831958600,40272002888,20159933,정재훈
50510565168.0000,50510565168,50510565168,50510565168,20280689,손용범
9114386350.8667,253673000,60175111015,136715795263,10062023,정우
25261215523.6000,1658653000,82871781800,378918232854,20127192,곽도원
