avgP,minP,maxP,sumP,DICD,Name
11950847577.5000,285969000,22389535897,119508475775,10001931,곽경택
9621468000.0000,9621468000,9621468000,9621468000,10027802,민병천
45893829662.6667,8444337719,88908642769,137681488988,20144326,이란희
2647934166.6667,292031500,7324579000,7943802500,10060635,장형윤
3164307333.3333,384127000,7330992000,9492922000,10027781,민동현
39869706381.0000,39869706381,39869706381,39869706381,10004291,김병우
668038345.0000,505103590,830973100,1336076690,10005660,김종관
4295052573.6667,3074373500,6204129964,12885157721,20128390,이원석
2886902500.0000,2886902500,2886902500,2886902500,20306729,김봉주
3474239000.0000,3474239000,3474239000,3474239000,20188935,박채원
349943500.0000,349943500,349943500,349943500,20113564,탁도연
27242041463.0000,27242041463,27242041463,27242041463,20183059,곽기봉
48700887413.0000,48700887413,48700887413,48700887413,20186285,유재선
15443489996.2000,217973600,56445023256,77217449981,20156200,윤준희
13934789995.0000,620874000,27248705990,27869579990,20150634,박규택
1542788950.0000,1542788950,1542788950,1542788950,20152055,유은정
17956361072.5000,14670355000,21242367145,35912722145,20112890,오성윤
14670355000.0000,14670355000,14670355000,14670355000,20133631,박재인
20800916128.0000,20800916128,20800916128,20800916128,20280830,이장훈
5192278618.8571,1762892500,8836144063,36345950332,10005652,김제영
13477172875.0000,392591200,36181314700,53908691500,10005905,김진묵
952555500.0000,952555500,952555500,952555500,10066770,조원희
5029762655.8000,326980700,16912706195,25148813279,20112542,전고운
5431095425.0000,326980700,15584755500,21724381700,20186944,정희재
12487788051.5000,710905075,35566892800,99902304412,20216655,이수민
2948371859.0000,616132846,5478113500,11793487436,10058886,임필성
1984907727.0000,415009400,3554806054,3969815454,20188088,오인천
35782378460.6667,17497165500,55863520382,107347135382,10007437,나홍진
15395739336.2857,704635000,61270079831,107770175354,10005852,김지운
32193983632.4286,315291000,66372140706,225357885427,10055965,이석훈
22642964733.0000,7683092100,56598333057,90571858932,20111283,우민호
33771419440.7500,4785467000,77319445264,135085677763,10057103,이일형
24565048321.2857,285182500,95868830649,171955338249,10060674,장훈
48478061163.7143,2647781500,115706188137,339346428146,10005151,김용화
9905406822.0000,9905406822,9905406822,9905406822,10056147,이수연
37356780079.0000,37356780079,37356780079,37356780079,20187247,박혁지
65759438650.0000,64802996000,66715881300,131518877300,10061773,정보서
17792219500.0000,17792219500,17792219500,17792219500,20157100,정유원
24528036007.3333,5726173700,34614661161,73584108022,10026426,모지은
2941227688.6667,784148500,5587166000,8823683066,10003598,김곡
285182500.0000,285182500,285182500,285182500,20305731,이정향
285182500.0000,285182500,285182500,285182500,20240711,최유정
285182500.0000,285182500,285182500,285182500,20240710,노혜지
285182500.0000,285182500,285182500,285182500,20240709,신지수
2935796000.0000,2935796000,2935796000,2935796000,10050404,오석근
9029620825.0000,363098800,15995187000,36118483300,10037076,송민규
522848900.0000,522848900,522848900,522848900,20211226,채두병
447691500.0000,447691500,447691500,447691500,10054393,윤여창
7682752500.0000,367328500,24326346000,30731010000,20112797,김성권
7711234362.6250,728085000,21968680600,61689874901,20140497,김지연
6481379657.0000,6481379657,6481379657,6481379657,10001939,곽기혁
255508579.0000,255508579,255508579,255508579,20208686,번가남
16519774520.0000,10653271160,27007303900,49559323560,10060606,장항준
20462134527.8571,4285830500,66014775400,143234941695,20148100,장창원
9345879612.8000,1930905564,13919416500,46729398064,10056570,이안규
488796800.0000,488796800,488796800,488796800,10087658,한영희
15868566584.3333,350293300,44395967609,142817099259,10021332,마대윤
13451876688.7000,253673000,44098470600,134518766887,10007424,나현
2889178951.2000,273120000,7013842000,14445894756,10054185,육상효
11703375573.6667,1302907128,29894157890,70220253442,10072147,최낙권
7178806615.1667,359247800,18979312500,43072839691,10061405,전윤수
472553700.0000,472553700,472553700,472553700,20305389,안지영
456077000.0000,456077000,456077000,456077000,20305250,신현진
43488814535.0000,43488814535,43488814535,43488814535,20124455,안형혜
17038639000.0000,17038639000,17038639000,17038639000,10026500,모현신
210875100.0000,210875100,210875100,210875100,20214911,박소현
488796800.0000,488796800,488796800,488796800,10005439,김일란
340297960.0000,340297960,340297960,340297960,20285289,이효정
340297960.0000,340297960,340297960,340297960,20263469,홍유라
274964000.0000,274964000,274964000,274964000,20276149,정현정
369339300.0000,369339300,369339300,369339300,10028514,박기형
21375287492.0000,21375287492,21375287492,21375287492,20303891,전승표
37931361970.0000,17695683795,58167040145,75862723940,10060507,장준환
11803593431.0000,1486835668,26119699000,59017967155,10058650,임순례
7571531001.3333,284073700,25437192500,45429186008,10062256,정지우
59180724133.0000,35489666466,82871781800,118361448266,20167784,양우석
1897970000.0000,1897970000,1897970000,1897970000,10049723,여균동
1977196563.0000,1977196563,1977196563,1977196563,20237246,조현민
23260127652.5000,22010977000,24509278305,46520255305,20155828,임상수
326980700.0000,326980700,326980700,326980700,20249882,부은주
1977196563.0000,1977196563,1977196563,1977196563,20204065,이준필
4912658515.0000,4912658515,4912658515,4912658515,20186154,오원재
1820503816.0000,784148500,2856859132,3641007632,20080184,백승빈
12747252468.0000,4650016527,20844488409,25494504936,20191706,이윤미
12042571000.0000,12042571000,12042571000,12042571000,20289829,이우석
22759862395.0000,22389535897,23130188893,45519724790,20235810,이제욱
306289600.0000,304884500,307694700,612579200,10062188,정재은
6856714772.3333,230206600,26284943000,41140288634,10062089,정윤철
5978880398.3333,326980700,16912706195,17936641195,10006078,김태곤
2729819800.6250,349943500,5587166000,21838558405,20111288,유영식
6481379657.0000,6481379657,6481379657,6481379657,20287367,김대웅
4271865500.0000,4271865500,4271865500,4271865500,10043285,"안드레이 즈비아긴체프"
