기간별 박스오피스 검색 리스트(2012.2 - 2018.7),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
rank,movieNm,movieCd,profit,profitPercent,profitAcc,audiCnt,audiAcc,scrnCnt,showCnt,nation,nations,maker,provier,rating , genre,director,actor
893,로덴시아: 마법왕국의 전설,2013-10-02,632768500,0,632768500,98575,98575,221,3017,페루,"페루,아르헨티나",,(주)영화사 빅,전체관람가,"애니메이션,어드벤처",데이비드 비스바노,
894,빌리와 용감한 녀석들 3,2015-04-30,699788600,0,699788600,98495,98495,343,3300,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처",척 파워스,"엄상현,조현정"
895,맥베스,2015-12-03,745585853,0,745585853,98237,98237,141,3826,영국,"영국,프랑스,미국",,판씨네마(주),15세이상관람가,드라마,저스틴 커젤,"마이클 패스벤더,마리옹 꼬띠아르"
896,김광석,2017-08-30,772483500,0,772483500,98231,98231,223,6265,한국,한국,(주)씨네포트,(주)비엠컬쳐스,15세이상관람가,다큐멘터리,이상호,"김광석,이상호,신종민,안철호"
897,이웃집에 신이 산다,2015-12-24,791026650,0,791026650,97929,97929,85,3184,벨기에,"벨기에,프랑스,룩셈부르크",,(주)엣나인필름,청소년관람불가,코미디,자코 반 도마엘,"브누와 뽀엘부르드,욜랭드 모로,까뜨린느 드뇌브"
898,인류멸망 보고서,2012-04-11,704635000,0,704635000,97916,97916,236,9556,한국,한국,지오엔터테인먼트,"롯데쇼핑㈜롯데엔터테인먼트,타임스토리그룹(주)",15세이상관람가,SF,김지운,"류승범,김강우,송새벽,송영창,김규리,고준희,진지희,류승수,윤세아,조윤희,임근호,임형주,정우,최덕문,윤제문,김뢰하,이칸희"
899,여중생A,2018-06-20,811698000,0,811698000,97851,97851,479,10272,한국,한국,"(주)영화사울림,네이버웹툰 주식회사",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,이경섭,"김환희,김준면,이종혁,정다빈,유재상,정다은,김현빈,유수아"
900,무서운 이야기 3 : 화성에서 온 소녀,2016-06-01,784148500,0,784148500,97804,97804,317,6407,한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,공포(호러),"백승빈,김선,김곡,민규동","임슬옹,경수진,박정민,홍은희,차지연,김수안,정용진,이재인"
901,인사이드 르윈,2014-01-29,759361400,0,759361400,97758,97758,70,3362,미국,"미국,프랑스",,블루미지,15세이상관람가,드라마,"조엘 코엔,에단 코엔","오스카 아이삭,캐리 멀리건,저스틴 팀버레이크,존 굿맨"
902,쓰리 빌보드,2018-03-15,796847700,0,800125700,97079,97480,110,4010,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"코미디,범죄,드라마",마틴 맥도나,"프란시스 맥도먼드,우디 해럴슨,샘 록웰,존 혹스,피터 딘클리지"
903,다크타워: 희망의 탑,2017-08-23,761759275,0,761759275,97017,97017,497,8342,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"액션,어드벤처,판타지",니콜라이 아르셀,"이드리스 엘바,매튜 매커너히"
904,"나, 다니엘 블레이크",2016-12-08,726712000,0,726712000,96712,96712,65,4121,영국,영국,,(주)영화사 진진,12세이상관람가,드라마,켄 로치,데이브 존스
905,마야2,2018-02-01,694458700,0,694458700,96690,96690,429,4138,독일,독일,,(주)영화사 빅,전체관람가,애니메이션,"노엘 클리어리,세르지오 델피노","김서영,김명준,김소희,임채헌,윤세웅,오인실,이소은,석승훈,이규창"
906,바스티유 데이,2016-10-13,766892600,0,766892600,96579,96579,422,10270,미국,"미국,프랑스",,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,제임스 왓킨스,"이드리스 엘바,리처드 매든,샬롯 르 본,호세 가르시아,켈리 라일리"
907,577 프로젝트,2012-08-30,695770500,0,695770500,96080,96080,191,5041,한국,한국,"(주)다세포클럽,(주)무브픽쳐스,(주)판타지오,(주)숲 엔터테인먼트",필라멘트픽쳐스,15세이상관람가,"코미디,드라마",이근우,"하정우,공효진,김성균,이승하,차현우,이지훈"
908,걷기왕,2016-10-20,710905075,0,710905075,95542,95542,462,10476,한국,한국,㈜인디스토리,CGV아트하우스,12세이상관람가,드라마,백승화,"심은경,박주희,김새벽,허정도,윤지원,안승균,김광규,김정영,이재진,이준용,박민준,장현진,방범석,정규환,오은비,조주형,이규진,이동혁,이수아,최봉석,최효주,황수진,김신동,이주영,안재홍"
909,커다랗고 커다랗고 커다란 배,2018-05-03,747049900,0,747049900,95328,95328,350,3443,덴마크,덴마크,,예지림엔터테인먼트,전체관람가,애니메이션,"필립 립스키,요르겐 레르담","이소은,이제인,윤세웅,이규창"
910,인비저블 게스트,2017-09-21,762947800,0,762947800,94879,94879,232,4575,스페인,스페인,,(주)더블앤조이픽쳐스,15세이상관람가,"범죄,미스터리,스릴러",오리올 파울로,"마리오 카사스,안나 와게너,호세 코로나도,바바라 레니"
911,일사각오,2016-03-17,682697500,0,682697500,94825,94825,66,2706,한국,한국,KBS,파이오니아21,12세이상관람가,드라마,"권혁만,고문안","이지형,설지윤,서광재"
912,사일런스,2017-02-28,700818300,0,700818300,94750,94750,342,5853,미국,"미국,대만,멕시코",,씨네그루(주)키다리이엔티,15세이상관람가,드라마,마틴 스콜세지,"앤드류 가필드,리암 니슨,아담 드라이버,시아란 힌즈,아사노 타다노부,코마츠 나나,츠카모토 신야,카세 료,사부,이세이 오가타"
913,나의 산티아고,2016-07-14,721244232,0,721244232,94243,94243,88,3432,독일,독일,,(주)영화사 진진,12세이상관람가,코미디,줄리아 폰 하인츠,"데비드 스트리에소브,마르티나 게덱,카타리나 탈바흐"
914,본 투 비 블루,2016-06-09,767151124,0,767151124,94091,94091,147,4849,캐나다,"캐나다,영국,미국",,그린나래미디어(주),청소년관람불가,드라마,로버트 뷔드로,"에단 호크,카르멘 에조고"
915,플로리다 프로젝트,2018-03-07,726925600,0,787001800,86406,93936,126,5129,미국,미국,,오드,15세이상관람가,드라마,션 베이커,윌렘 데포
916,원피스 극장판 Z,2013-03-21,626891000,0,626891000,93239,93239,267,3968,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,나가미네 타츠야,"타나카 마유미,나카이 카즈야"
917,태풍이 지나가고,2016-07-27,774349972,0,774349972,93230,93230,72,3090,일본,일본,,(주)티캐스트,12세이상관람가,드라마,고레에다 히로카즈,"아베 히로시,키키 키린,마키 요코,코바야시 사토미"
918,오베라는 남자,2016-05-25,741082888,0,741082888,92792,92792,255,4475,스웨덴,스웨덴,,"(주)싸이더스,(주)디스테이션",12세이상관람가,드라마,하네스 홀름,"롤프 라스가드,바하르 파르스,필립 버그,이다 엥볼"
919,7번째 아들,2015-02-11,729980451,0,729980451,92598,92598,358,7396,미국,"미국,영국,캐나다",,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"어드벤처,가족,판타지",세르게이 보드로프,"제프 브리지스,줄리안 무어,벤 반스"
920,슈퍼미니,2014-04-10,657418500,0,662218500,91647,92447,303,3340,프랑스,프랑스,,판씨네마(주),전체관람가,"애니메이션,액션,어드벤처","토마스 자보,헬레네 지라드",
921,철가방 우수氏,2012-11-22,604032500,0,604032500,92404,92404,119,3951,한국,한국,(주)대길이에스,씨제이이앤엠(주),12세이상관람가,드라마,윤학렬,"최수종,기주봉,이수나,이후성,임선우,임효순,조정현,최영락,이성숙,이종신,유수민,김정균,이한솔"
922,크리미널,2016-06-22,738985181,0,738985181,92358,92358,351,7018,영국,"영국,미국",,(주)영화사 빅,15세이상관람가,"액션,범죄",아리엘 브로멘,"라이언 레놀즈,케빈 코스트너,게리 올드만,토미 리 존스,갤 가돗"
923,숀더쉽,2015-08-13,640793000,0,640793000,91790,91790,263,2937,영국,"영국,프랑스",,(주)박수엔터테인먼트,전체관람가,"애니메이션,어드벤처,코미디","마크 버튼,리처드 스타잭",
924,포커스,2015-02-26,702878700,0,702878700,91164,91164,349,6736,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"코미디,범죄,멜로/로맨스","글렌 피카라,존 레쿼","윌 스미스,마고 로비,로드리고 산토로,제랄드 맥라니"
925,마마,2013-01-23,662161500,0,662161500,91143,91143,164,4091,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러",안드레스 무시에티,"제시카 차스테인,니콜라이 코스터 왈도"
926,락 오브 에이지,2012-08-02,659124496,0,659124496,90926,90926,243,4733,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"뮤지컬,드라마",아담 쉥크만,"톰 크루즈,캐서린 제타-존스,알렉 볼드윈,폴 지아마티,말린 애커맨,줄리안 허프,디에고 보네타,러셀 브랜드"
927,노 게임 노 라이프 -제로-,2017-10-19,739368300,0,739368300,90718,90718,121,3348,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,애니메이션,이시즈카 아츠코,"마츠오카 요시츠구,카야노 아이"
928,슈퍼 프렌즈,2016-08-10,663075600,0,663075600,89615,89615,255,2483,한국,한국,㈜디지아트프로덕션,씨네그루(주)키다리이엔티,전체관람가,애니메이션,"이경호,이원재","변현우,김지혜,박조호,서지연,남도형,홍진욱,김승태,오인성,유지현,이세은"
929,몬스터 콜,2017-09-14,699851900,0,699851900,89560,89560,349,7137,스페인,스페인,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",후안 안토니오 바요나,"시고니 위버,펠리시티 존스,루이스 맥더겔,리암 니슨"
930,더 매직: 리틀톰과 도둑공주,2015-09-24,654964700,0,654964700,89524,89524,193,2195,스페인,"스페인,쿠바",,"㈜코리아스크린,와이드 릴리즈(주)",전체관람가,"애니메이션,판타지,뮤지컬",어네스토 파드롱,
931,페이스 블라인드,2012-06-21,660556169,0,660556169,88977,88977,179,4652,미국,"미국,프랑스,캐나다",,(주)마인스 엔터테인먼트,청소년관람불가,"범죄,미스터리,스릴러",줄리앙 마그넷,"밀라 요보비치,줄리안 맥마흔,사라 웨인 콜리스,마이클 쉥크스"
932,더 콜,2013-06-20,626952634,0,626952634,88953,88953,241,5412,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,스릴러,브래드 앤더슨,"할리 베리,아비게일 브레스린"
933,갤로우즈,2015-09-03,686186406,0,686186406,88777,88777,299,4654,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),"트래비스 클러프,크리스 로핑","캐시디 지포드,파이퍼 브라운,리즈 미슬러,라이언 슈스,트래비스 클러프"
934,콜드 라잇 오브 데이,2012-05-17,636555090,0,636555090,88522,88522,245,7158,미국,미국,,씨너스엔터테인먼트(주),15세이상관람가,"액션,스릴러",마브룩 엘 메크리,"헨리 카빌,브루스 윌리스,시고니 위버"
935,살인자,2014-01-15,656849000,0,656849000,88199,88199,207,3744,한국,한국,(주)홍필름,(주)영화사 빅,청소년관람불가,스릴러,이기욱,"마동석,안도규,김현수,박진우,차성호,이기욱,이목원,황은수,김영민,김창희,김혜나,박수빈"
936,룸,2016-03-03,627906900,0,700569900,79114,87673,333,6871,아일랜드,"아일랜드,캐나다",,(주)영화사 빅,15세이상관람가,드라마,레니 에이브러햄슨,"브리 라슨,제이콥 트렘블레이"
937,허큘리스,2014-08-06,669882800,0,669882800,86553,86553,278,4318,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"액션,어드벤처",브렛 래트너,"드웨인 존슨,존 허트,이안 맥쉐인,조셉 파인즈,이리나 샤크,바바라 팔빈"
938,세인트 빈센트,2015-03-05,670341528,0,670341528,86415,86415,308,6347,미국,미국,,(주)영화사 빅,12세이상관람가,"코미디,드라마",데오도르 멜피,"빌 머레이,나오미 왓츠,멜리사 맥카시,테렌스 하워드,제이든 리버허"
939,유스,2016-01-07,665264300,0,665264300,85426,85426,65,3139,이탈리아,"이탈리아,프랑스,스위스,영국",,그린나래미디어(주),15세이상관람가,드라마,파올로 소렌티노,"마이클 케인,하비 케이틀,레이첼 와이즈,폴 다노,제인 폰다"
940,빅 아이즈,2015-01-28,651454335,0,651454335,85223,85223,290,5500,미국,미국,,판씨네마(주),12세이상관람가,드라마,팀 버튼,"에이미 아담스,크리스토프 왈츠"
941,레전드 오브 래빗,2012-02-22,117821500,0,581200500,18428,85184,197,890,중국,중국,,(주)화앤담이엔티,전체관람가,애니메이션,순리준,"엄상현,박지훈,남도형"
942,짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,2014-04-03,596032100,0,596032100,84306,84306,301,3278,일본,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,하시모토 마사카즈,"박영남,오세홍"
943,극장판 썬더일레븐GO : 궁극의 우정 그리폰,2012-05-24,574947000,0,574947000,84255,84255,243,2849,일본,일본,,에이원엔터테인먼트,전체관람가,애니메이션,미야오 요시카즈,"문남숙,전숙경,배정미,이호산"
944,와일드,2015-01-22,668736800,0,668736800,83761,83761,58,2733,미국,미국,,이십세기폭스코리아(주),청소년관람불가,드라마,장 마크 발레,"리즈 위더스푼,가비 호프만,로라 던"
945,다이노X 탐험대,2016-05-04,642526900,0,642526900,83319,83319,348,3126,한국,한국,(주)MBC,(주)이수C&E,전체관람가,"애니메이션,다큐멘터리",이동희,"정준하,하동훈"
946,지랄발광 17세,2017-06-28,656251800,0,656251800,83258,83258,119,5393,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"코미디,드라마",켈리 프레몬,"헤일리 스테인펠드,우디 해럴슨,카이라 세드윅,블레이크 제너,헤일리 루 리차드슨"
947,씬 시티: 다크히어로의 부활,2014-09-11,656718748,0,656718748,83182,83182,345,8415,미국,미국,,메가박스중앙(주)플러스엠,청소년관람불가,"액션,범죄,스릴러","프랭크 밀러,로버트 로드리게즈","조셉 고든 레빗,에바 그린,제시카 알바,브루스 윌리스,미키 루크,조슈 브롤린"
948,뷰티풀 크리처스,2013-04-18,582030544,0,582030544,82995,82995,278,7272,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"스릴러,액션,판타지,멜로/로맨스",리차드 라그라브네스,"앨리스 앤글레르트,비올라 데이비스,엠마 톰슨,에미 로섬,제레미 아이언스,엘든 이렌리치"
949,더 이퀄라이저,2015-01-28,639464500,0,639464500,82779,82779,255,4861,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"액션,범죄,스릴러",안톤 후쿠아,"덴젤 워싱턴,클로이 모레츠,마튼 초카스"
950,파도가 지나간 자리,2017-03-08,638463700,0,638463700,82736,82736,276,5754,미국,"미국,뉴질랜드,영국",,CGV아트하우스,15세이상관람가,"드라마,멜로/로맨스",데릭 시엔프랜스,"마이클 패스벤더,알리시아 비칸데르,레이첼 와이즈,에밀리 바클레이,리온 포드"
951,타임 패러독스,2015-01-07,646075908,0,646075908,82246,82246,232,4353,호주,호주,,(유)조이앤시네마,15세이상관람가,"SF,스릴러","마이클 스피어리그,피터 스피어이그","에단 호크,노아 테일러,사라 스누크"
952,로스트 인 더스트,2016-11-03,639384322,0,639384322,81966,81966,354,7277,미국,미국,,메가박스중앙(주)플러스엠,15세이상관람가,"범죄,드라마",데이빗 맥킨지,"크리스 파인,벤 포스터,제프 브리지스"
953,최악의 하루,2016-08-25,643607190,0,643607190,81215,81215,199,5619,한국,한국,㈜인디스토리,CGV아트하우스,15세이상관람가,멜로/로맨스,김종관,"한예리,이와세 료,권율,이희준,이승연,강 숙"
954,꼬마참새 리차드: 아프리카 원정대,2017-06-15,599076600,0,599076600,81136,81136,319,3174,독일,"독일,벨기에,룩셈부르크,노르웨이",,씨네그루(주)키다리이엔티,전체관람가,애니메이션,"토비 젠켈,레자 메마리","김서영,구민선,변영희,사문영,임채헌,황창영,이현"
955,원 챈스,2014-03-13,593174100,0,593414100,80977,81025,329,7388,영국,"영국,미국",,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마",데이빗 프랭클,"제임스 코든,알렉산드라 로치,콤 미니"
956,터널 3D,2014-08-20,620874000,0,620874000,80989,80989,264,5076,한국,한국,"(주)필마픽쳐스 ,(주)씨제이에스지 마당엔터테인먼트",(주)박수엔터테인먼트,15세이상관람가,"공포(호러),스릴러",박규택,"정유미,연우진,송재림,정시연,이태현,박지원,서종민,전수아,양영택,유세문,정원태,정진,차수빈,차은미,이예림,이지혜,김윤아,노슬기,명진석,유재명,손병호,전우재"
957,페이스 오브 러브,2014-04-16,597286405,0,597286405,80699,80699,222,5521,미국,미국,,(주)영화사 빅,15세이상관람가,"드라마,멜로/로맨스",아리 포신,"아네트 베닝,에드 해리스,로빈 윌리엄스"
958,너와 100번째 사랑,2017-05-25,633052500,0,633052500,80614,80614,140,3895,일본,일본,,(주)디스테이션,12세이상관람가,"드라마,멜로/로맨스",츠키카와 쇼,"사카구치 켄타로,미와,류세이 료"
959,아무르,2012-12-19,616556600,0,616556600,80458,80458,30,2398,프랑스,"프랑스,독일,오스트리아",,(주)티캐스트,15세이상관람가,드라마,미카엘 하네케,"장-루이 트린티냥,엠마누엘 리바,이자벨 위페르"
960,지금은맞고그때는틀리다,2015-09-24,661960100,0,661960100,80345,80345,70,5120,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)넥스트엔터테인먼트월드(NEW)",청소년관람불가,드라마,홍상수,"정재영,김민희,윤여정,기주봉,최화정,유준상,서영화,고아성"
961,오 마이 그랜파,2016-03-17,632806532,0,632806532,79701,79701,396,8842,미국,미국,,판씨네마(주),청소년관람불가,코미디,댄 마저,"로버트 드니로,잭 에프런"
962,토토의 움직이는 숲,2013-06-20,506217000,0,506217000,79654,79654,191,2411,덴마크,덴마크,,(주)미디어데이,전체관람가,애니메이션,에스벤 토프트 야콥슨,마르쿠스 리가드
963,드래곤 스펠: 마법 꽃의 비밀,2017-08-15,582071200,0,582071200,79446,79446,164,2445,독일,"독일,우크라이나",,㈜코리아스크린,전체관람가,"애니메이션,판타지",마누크 데포얀,
964,분신사바 2,2014-07-16,574836300,0,574836300,79017,79017,238,4415,중국,"중국,한국",,(주)팝엔터테인먼트,15세이상관람가,"공포(호러),스릴러",안병기,"박한별,신지뢰,장정정"
965,아더 우먼,2014-11-13,593353218,0,593353218,78978,78978,331,6408,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"코미디,멜로/로맨스",닉 카사베츠,"카메론 디아즈,레슬리 만,케이트 업튼"
966,오즈: 신기한 마법가루,2017-07-20,565456600,0,565456600,78440,78440,343,2758,러시아,러시아,,(주)스마일이엔티,전체관람가,"애니메이션,어드벤처,가족",블라디미르 토로프킨,"이장원,김하영,송하림,김연우,안효민,서원석,이현,황창영"
967,엑스 마키나,2015-01-21,633161363,0,633161363,78435,78435,207,4062,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"SF,스릴러",알렉스 가랜드,"도널 글리슨,알리시아 비칸데르,오스카 아이삭"
968,리스본행 야간열차,2014-06-05,600061336,0,600996336,78040,78227,57,2337,독일,"독일,스위스,포르투갈",,(주)나이너스엔터테인먼트,15세이상관람가,"미스터리,멜로/로맨스,스릴러",빌 어거스트,"제레미 아이언스,멜라니 로랑,잭 휴스턴,마르티나 게덱"
969,모데카이,2015-02-18,624513020,0,624513020,78070,78070,290,4241,미국,미국,,(주)나이너스엔터테인먼트,15세이상관람가,"액션,코미디",데이빗 코엡,"조니 뎁,기네스 팰트로우,이완 맥그리거"
970,러덜리스,2015-07-09,613113720,0,613113720,77867,77867,117,3525,미국,미국,,그린나래미디어(주),12세이상관람가,"코미디,드라마",윌리엄 H. 머시,"빌리 크루덥,안톤 옐친,셀레나 고메즈,로렌스 피쉬번,펠리시티 허프먼"
971,호텔 아르테미스,2018-07-18,646083100,0,646083100,77789,77789,466,7887,미국,미국,,판씨네마(주),15세이상관람가,"액션,범죄",드류 피어스,"조디 포스터,데이브 바티스타,스털링 K. 브라운,소피아 부텔라,제프 골드블럼,재커리 퀸토,찰리 데이"
972,쓰리 썸머 나잇,2015-07-15,616132846,0,616132846,77621,77621,297,5391,한국,한국,"더램프(주),㈜감독의집","(주)리틀빅픽쳐스,(주)인벤트스톤",청소년관람불가,코미디,김상진,"김동욱,임원희,손호준,윤제문,류현경,심은진,이채영,전은진,정승민,박현수,홍광석,김승필,이신범,연송하"
973,매직 인 더 문라이트,2014-08-20,607407281,0,607407281,77307,77307,194,4466,미국,미국,,(주)인벤트스톤,12세이상관람가,"코미디,드라마,멜로/로맨스",우디 앨런,"콜린 퍼스,엠마 스톤"
974,엽기적인 그녀 2,2016-05-12,594260900,0,594260900,77124,77124,387,6132,한국,한국,(주)신씨네,(주)리틀빅픽쳐스,15세이상관람가,"멜로/로맨스,코미디",조근식,"차태현,빅토리아,후지이 미나,배성우,최진호,송옥숙,박재민,장봉영,정수련,정종준,양원석,조예경,윤서영,이상진,이성국,이은경,황창기,김병용,김우주,김근영,목규리"
975,맘마미아!2,2018-08-08,686008600,0,686008600,76657,76657,264,898,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,뮤지컬,올 파커,"아만다 사이프리드,릴리 제임스,메릴 스트립,피어스 브로스넌,제레미 어바인,콜린 퍼스,휴 스키너,스텔란 스카스가드,조쉬 딜란,줄리 월터스,알렉사 데이비스,크리스틴 바란스키,제시카 키나 윈,도미닉 쿠퍼,셰어,앤디 가르시아"
976,오두막,2017-04-20,588759000,0,588759000,76647,76647,396,5682,미국,미국,,판씨네마(주),12세이상관람가,드라마,스튜어트 하젤딘,"샘 워싱턴,옥타비아 스펜서,라다 미첼,라이언 로빈스,그레이엄 그린,데릭 해밀턴,에밀리 홈즈"
977,피치 퍼펙트: 언프리티 걸즈,2015-05-28,591516497,0,591516497,75598,75598,297,5381,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,뮤지컬",엘리자베스 뱅크스,"안나 켄드릭,헤일리 스테인펠드,레벨 윌슨"
978,쿰바: 반쪽무늬 얼룩말의 대모험,2014-09-04,547653400,0,547653400,75370,75370,180,2016,남아프리카공화국,남아프리카공화국,,(주)와이즈베이,전체관람가,"애니메이션,어드벤처,가족",앤서니 실버스톤,"제이크 T. 오스틴,안나소피아 롭,캐서린 테이트,리암 니슨,로렌스 피쉬번"
979,조조-황제의 반란,2012-10-18,535708500,0,535708500,75301,75301,227,6859,중국,중국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,사극,조림산,"주윤발,유역비,타마키 히로시"
980,브릭 맨션: 통제불능 범죄구역,2014-08-27,543025047,0,543025047,74912,74912,287,5707,프랑스,"프랑스,캐나다",,씨네그루(주)다우기술,15세이상관람가,"액션,범죄,드라마",카밀 들라마레,"폴 워커,데이빗 벨"
981,패트리어트 데이,2017-04-06,593983618,0,593983618,74827,74827,375,6326,미국,미국,,(주)이수C&E,15세이상관람가,"드라마,스릴러",피터 버그,"마크 월버그,존 굿맨,케빈 베이컨,J.K. 시몬스,미셸 모나한"
982,피라냐 3DD,2012-08-01,646251500,0,646251500,74586,74586,269,5572,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"공포(호러),스릴러,코미디",존 걸레거,"다니엘 파나베이커,빙 라메스,데이빗 핫셀호프,크리스토퍼 로이드"
983,극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치,2014-08-13,531113700,0,531113700,74346,74346,123,1998,일본,일본,,(주)포켓몬코리아,전체관람가,애니메이션,유야마 쿠니히코,"마츠모토 리카,오오타니 이쿠에,우에다 유지"
984,쿵후팬더: 영웅의 탄생,2013-07-04,466173000,0,466173000,74250,74250,197,2035,중국,중국,,(주)미디어데이,전체관람가,애니메이션,레오 로,"성룡,임자총,엄상현,양유진,홍진욱,임채헌,이재인,박상훈,이재범,김경희,임경명"
985,파워레인져스: 더 비기닝,2017-04-20,577103561,0,577103561,73875,73875,479,7880,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"액션,어드벤처,판타지,SF",딘 이스라엘리트,"데이커 몽고메리,나오미 스콧,RJ 사일러,베키 지,루디 린,빌 헤이더,브라이언 크랜스톤,엘리자베스 뱅크스,데이빗 덴맨,안잘리 자이,캐롤라인 케이브"
986,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,481425000,0,481425000,73797,73797,167,2880,영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,어드벤처",다라 오코넬,"하성용,정재헌,엄상현,윤승희,김정은"
987,위자,2015-04-16,570989035,0,570989035,73716,73716,337,6160,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"미스터리,공포(호러)",스틸즈 화이트,"올리비아 쿡,더글라스 스미스"
988,두 개의 문,2012-06-21,504385000,0,504766000,73555,73632,47,2477,한국,한국,성소수문화환경을 위한 모임 '연분홍치마',(주)시네마달,15세이상관람가,다큐멘터리,"김일란,홍지유","정태현,이종걸"
989,나우이즈굿,2012-11-08,503863000,0,503863000,73421,73421,144,3261,영국,영국,,(주)인벤트스톤,15세이상관람가,"드라마,멜로/로맨스",올 파커,"다코타 패닝,제레미 어바인,카야 스코델라리오,올리비아 윌리엄스"
990,오싱,2013-12-05,473068500,0,473068500,73364,73364,233,3658,일본,일본,,(주)팝엔터테인먼트,전체관람가,드라마,토가시 신,"하마다 코코네,우에토 아야,키시모토 가요코"
991,프란시스 하,2014-07-17,569189070,0,569189070,72699,72699,70,3078,미국,미국,,그린나래미디어(주),15세이상관람가,"코미디,멜로/로맨스",노아 바움백,"그레타 거윅,믹키 섬너,그레이스 검머,아담 드라이버"
992,어거스트: 가족의 초상,2014-04-03,542982500,0,543885500,72015,72196,249,5212,미국,미국,,주식회사 우리네트웍스,15세이상관람가,드라마,존 웰스,"메릴 스트립,줄리아 로버츠,베네딕트 컴버배치,이완 맥그리거,크리스 쿠퍼,줄리엣 루이스,더못 멀로니,아비게일 브레스린"
993,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,568565500,0,568565500,72097,72097,179,2851,미국,미국,,"(주)영화사 그램,(재)CBS",12세이상관람가,드라마,마이클 메이슨,"존 코베트,쉐인 하퍼,테드 맥긴리"
994,언더월드: 블러드 워,2016-11-30,567567100,0,567567100,72071,72071,183,4953,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,판타지,공포(호러)",안나 포에스터,"케이트 베킨세일,테오 제임스,찰스 댄스,알리시아 벨라 베일리"
995,정글히어로,2014-10-02,511579300,0,511579300,72047,72047,287,2825,한국,한국,"원더월드 스튜디오,(주)디씨지플러스",씨제이이앤엠(주),전체관람가,애니메이션,"박태동,마우리시오 드 라 오르타","심규혁,김기철,조성목,김현지,양세나,남도형,안장혁,이상헌,김무규"
996,화이트 고릴라,2013-10-31,464078500,0,464078500,71796,71796,182,2181,스페인,스페인,,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트",전체관람가,애니메이션,안드레스 G. 슈에,
997,모뉴먼츠 맨: 세기의 작전,2014-02-27,454482627,0,534041027,60133,71483,319,5215,미국,"미국,독일",,이십세기폭스코리아(주),12세이상관람가,"액션,드라마",조지 클루니,"맷 데이먼,케이트 블란쳇,조지 클루니,빌 머레이,존 굿맨,휴 보네빌"
998,선생님의 일기,2016-11-02,500106200,0,500106200,71480,71480,163,6548,태국,태국,,"(주)드림팩트엔터테인먼트,(주)미로스페이스",12세이상관람가,"멜로/로맨스,드라마",니티왓 다라톤,레일라 분야삭
999,더 서클,2017-06-22,578129700,0,578129700,71362,71362,169,5571,미국,미국,,씨네그루(주)키다리이엔티,12세이상관람가,"드라마,SF,스릴러",제임스 폰솔트,"엠마 왓슨,톰 행크스"
