개봉일람 검색,,,,,,,,,,,,,,,,,
검색조건:[조회기간:2011년~2018년 대표국적:전체 영화구분:전체 영화유형:개봉영화],,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
"3,712 ",너무 밝히는 소녀 알마,야니케 시스타드 야콥슨,,(주)영화사 자미,(주)스크린와이즈,2012-04-26,개봉영화,장편,노르웨이,4 ,5518000,762 ,4676000,616 ,코미디,청소년관람불가,다양성영화
"3,713 ",블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,"김성권,이임주",㈜스토리셋,,㈜스토리셋,2016-04-14,개봉영화,장편,한국,7 ,5806000,760 ,5538000,725 ,다큐멘터리,전체관람가,다양성영화
"3,714 ",소시민,김병준,영화사 새삶,,홀리가든,2017-01-12,개봉영화,장편,한국,10 ,5585800,760 ,4117500,551 ,코미디,15세이상관람가,다양성영화
"3,715 ",콩가네,남기웅,(주)이웃엔터테인먼트,,프리비젼엔터테인먼트,2013-07-11,개봉영화,장편,한국,3 ,5451500,755 ,4212000,563 ,가족,청소년관람불가,다양성영화
"3,716 ",장고 인 멜로디,에티엔느 코마,,주식회사 씨네룩스,주식회사 씨네룩스,2018-03-01,개봉영화,장편,프랑스,16 ,5555300,752 ,2790400,337 ,드라마,12세이상관람가,다양성영화
"3,717 ",피의 만우절,"로라 가르시아,마크 마르티네즈,카를로스 알론소",,씨네그루(주)다우기술,씨네그루(주)다우기술,2014-04-24,개봉영화,장편,스페인,5 ,3750000,750 ,3000000,600 ,공포(호러),청소년관람불가,상업영화
"3,718 ",노 원 리브스,기타무라 류헤이,,씨네그루(주)다우기술,씨네그루(주)다우기술,2013-08-29,개봉영화,장편,미국,6 ,5199000,748 ,4201000,611 ,스릴러,청소년관람불가,상업영화
"3,719 ",도쿄아포칼립스: 최후의 결전,미이케 다카시,,미디어소프트,(주)마인스 엔터테인먼트,2015-09-10,개봉영화,장편,일본,20 ,3935000,748 ,327000,63 ,액션,청소년관람불가,다양성영화
"3,720 ",산딸기,잉마르 베리만,,㈜영화사 백두대간,㈜영화사 백두대간,2013-05-16,개봉영화,장편,스웨덴,1 ,6060000,748 ,6060000,748 ,드라마,12세이상관람가,다양성영화
"3,721 ",굿닥터,랜스 데일리,,(주)소나무픽쳐스,(주)마인스 엔터테인먼트,2012-12-06,개봉영화,장편,미국,18 ,5395500,747 ,1784000,245 ,스릴러,청소년관람불가,상업영화
"3,722 ",러브앤서울 복숭아마을 도색소동기,조조 히데오,(주)케이알씨지,,(주)케이알씨지,2015-07-27,개봉영화,장편,한국,5 ,3847000,744 ,1204000,231 ,멜로/로맨스,청소년관람불가,다양성영화
"3,723 ",코지 판 투테,제임스 레바인,,(주)인스터피씨엠,(주)인스터피씨엠,2014-09-20,개봉영화,장편,미국,2 ,11561000,743 ,10617000,686 ,공연,전체관람가,상업영화
"3,724 ",세 얼간이 감독판,라즈쿠마르 히라니,,"(유)영화사 화수분,(주)씨네마드마농","와이드 릴리즈(주),필라멘트픽쳐스",2011-08-18,개봉영화,장편,인도,0 ,6054000,742 ,6054000,742 ,코미디,12세이상관람가,다양성영화
"3,725 ",컨트롤,필국지,,포커스 온,포커스 온,2014-01-09,개봉영화,장편,홍콩,5 ,2990000,740 ,0,0 ,액션,15세이상관람가,상업영화
"3,726 ",화이트 스완,로버트 크롬비,,포커스 온,포커스 온,2013-12-19,개봉영화,장편,미국,5 ,2990000,740 ,0,0 ,액션,15세이상관람가,상업영화
"3,727 ",호프만 이야기,바틀렛 셔,,(주)인스터피씨엠,(주)인스터피씨엠,2015-08-22,개봉영화,장편,미국,3 ,17796000,737 ,12873000,517 ,공연,전체관람가,상업영화
"3,728 ",디아즈: 이 피를 지우지 말라,다니엘레 비카리,,알토미디어(주),(주)미디어데이,2014-04-17,개봉영화,장편,이탈리아,5 ,4006000,731 ,3656000,681 ,드라마,청소년관람불가,상업영화
"3,729 ",핑크,전수일,"(주)동녘필름,(주)씨타마운틴픽쳐스",,(주)씨타마운틴픽쳐스,2012-03-15,개봉영화,장편,한국,11 ,4732000,730 ,2137000,281 ,드라마,청소년관람불가,다양성영화
"3,730 ",토스카,루크 본디,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2013-04-13,개봉영화,장편,독일,2 ,18767000,723 ,17234000,668 ,공연,전체관람가,다양성영화
"3,731 ",피스 오브 케이크,타구치 토모로오,,(주)엔케이컨텐츠,(주)엔케이컨텐츠,2016-03-03,개봉영화,장편,일본,10 ,5959500,723 ,3516500,419 ,멜로/로맨스,15세이상관람가,상업영화
"3,732 ",붉은 거북,미카엘 두독 드 비트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-03-11,개봉영화,장편,프랑스,17 ,6172500,716 ,4431500,514 ,애니메이션,전체관람가,상업영화
"3,733 ",어이그 저 귓것,오멸,(주)제주넷,,(주)영화사 진진,2011-08-25,개봉영화,장편,한국,6 ,5367200,713 ,4201700,530 ,드라마,전체관람가,다양성영화
"3,734 ",절벽 위의 트럼펫,한상희,,투썸업픽쳐스,투썸업픽쳐스,2017-03-09,개봉영화,장편,일본,11 ,5411300,711 ,3922500,484 ,판타지,전체관람가,다양성영화
"3,735 ",트랜짓,안토니오 니그렛,,㈜코리아스크린,(주)팝엔터테인먼트,2012-11-22,개봉영화,장편,미국,6 ,4955500,711 ,3654500,531 ,액션,청소년관람불가,상업영화
"3,736 ",죽음의 천사,,,(주)인스터피씨엠,(주)인스터피씨엠,2018-04-07,개봉영화,장편,미국,11 ,15209500,709 ,10140000,472 ,공연,12세이상관람가,상업영화
"3,737 ",착한 여자,경석호,영화사 인연,,(주)소나무픽쳐스,2015-03-25,개봉영화,장편,한국,20 ,2959000,708 ,777000,269 ,멜로/로맨스,청소년관람불가,상업영화
"3,738 ",방 안의 코끼리,"박수영,권칠인,권호영",한국영화아카데미,,㈜인디스토리,2016-03-03,개봉영화,옴니버스,한국,24 ,5430800,707 ,2590000,335 ,기타,청소년관람불가,다양성영화
"3,739 ",이룰 수 없는 사랑,로베르 르파주,,(주)인스터피씨엠,(주)인스터피씨엠,2017-03-04,개봉영화,장편,미국,7 ,15514500,706 ,11959500,539 ,공연,전체관람가,상업영화
"3,740 ",무림신공 : 황금봉의 전사,이파 이스판샤,,(주)더블앤조이픽쳐스,(주)더블앤조이픽쳐스,2016-03-10,개봉영화,장편,인도네시아,5 ,3515000,703 ,0,0 ,액션,15세이상관람가,다양성영화
"3,741 ",뷰티풀 차일드,이성수,(주)피쉬트리 & STARTREE ENTERTAINMENT LTD,,(주)씨타마운틴픽쳐스,2013-11-28,개봉영화,장편,한국,6 ,4632000,703 ,3695000,534 ,다큐멘터리,전체관람가,다양성영화
"3,742 ",스프링 브레이커스,하모니 코린,,(주)누리픽쳐스,(주)누리픽쳐스,2013-07-25,개봉영화,장편,미국,1 ,5639000,703 ,5639000,703 ,코미디,청소년관람불가,다양성영화
"3,743 ",메트로: 마지막 탈출,안톤 메거딕체브,,,㈜싸이더스픽쳐스,2014-02-13,개봉영화,장편,러시아,5 ,2880000,700 ,0,0 ,액션,15세이상관람가,상업영화
"3,744 ",올 더 뷰티,오스네 보 그레이브로크,,(주)마노엔터테인먼트,(주)마노엔터테인먼트,2017-11-23,개봉영화,장편,노르웨이,8 ,4862000,698 ,3033500,431 ,드라마,청소년관람불가,다양성영화
"3,745 ",점프 아쉰,린 유쉰,,찬란,찬란,2012-04-19,개봉영화,장편,대만,10 ,5231900,696 ,3829400,475 ,드라마,15세이상관람가,다양성영화
"3,746 ",벤베누토 첼리니,테리 길리엄,,에스디시코리아 주식회사,에스디시코리아 주식회사,2015-03-04,개봉영화,장편,영국,12 ,13781500,693 ,7398500,317 ,공연,전체관람가,다양성영화
"3,747 ",어둠 속의 빛 ,아그네츠카 홀란드,,(주)퓨어픽쳐스인터내셔널코리아,(주)씨타마운틴픽쳐스,2013-04-11,개봉영화,장편,폴란드,7 ,4330000,693 ,2162000,310 ,드라마,청소년관람불가,다양성영화
"3,748 ",미스터 컴퍼니,민환기,1014픽쳐스,,㈜인디스토리,2014-02-27,개봉영화,장편,한국,10 ,4620800,690 ,3871800,564 ,다큐멘터리,12세이상관람가,다양성영화
"3,749 ",깔깔깔 희망버스,이수정,생의 한가운데,,(주)씨타마운틴픽쳐스,2012-09-27,개봉영화,장편,한국,7 ,4638400,689 ,4304900,639 ,다큐멘터리,15세이상관람가,다양성영화
"3,750 ",우리가족,김도현,,,(주)씨타마운틴픽쳐스,2014-07-24,개봉영화,장편,한국,7 ,4166000,689 ,3247000,537 ,다큐멘터리,전체관람가,다양성영화
"3,751 ",베르테르,리처드 이어,,(주)인스터피씨엠,(주)인스터피씨엠,2014-07-12,개봉영화,장편,미국,2 ,15126000,684 ,14498500,659 ,공연,전체관람가,상업영화
"3,752 ",탐욕의 별,공귀현,스파이럴 프로젝트,,㈜인디스토리,2016-04-27,개봉영화,장편,한국,9 ,4461500,684 ,3101500,468 ,다큐멘터리,15세이상관람가,다양성영화
"3,753 ",겨울냄새,전화성,크리에이티브컴즈(주),,크리에이티브컴즈(주),2011-08-18,개봉영화,장편,한국,3 ,5461000,682 ,4178500,495 ,다큐멘터리,전체관람가,다양성영화
"3,754 ",파크,세타 나츠키,,(주)영화공간,와이드 릴리즈(주),2017-11-09,개봉영화,장편,일본,31 ,5120400,679 ,3366500,430 ,드라마,전체관람가,다양성영화
"3,755 ",아름다운 유산,김창만,(주)마루인큐브,,제나두엔터테인먼트,2011-04-14,개봉영화,장편,한국,3 ,3397500,678 ,3295000,662 ,드라마,전체관람가,상업영화
"3,756 ",심장이 뛰네,허은희,오렌지시네마,,(주)키노아이디엠씨,2011-07-28,개봉영화,장편,한국,4 ,4325500,677 ,2694500,359 ,드라마,청소년관람불가,상업영화
"3,757 ",에덴의 선택,메건 그리피스,,㈜세종커뮤니케이션스,C 무비,2013-05-09,개봉영화,장편,미국,8 ,5020500,677 ,2385000,295 ,드라마,청소년관람불가,다양성영화
"3,758 ",제 5원소 리마스터링 감독판,뤽 베송,,스크린조이,(주)팝엔터테인먼트,2013-11-20,개봉영화,장편,프랑스,4 ,2060000,677 ,942000,117 ,SF,15세이상관람가,상업영화
"3,759 ",캠퍼스 S 커플,송창용,(주)레알컴퍼니,,(주)액티버스엔터테인먼트,2014-05-15,개봉영화,장편,한국,1 ,4728000,677 ,4728000,677 ,멜로/로맨스,청소년관람불가,상업영화
"3,760 ",러브,유승택,,(주)노이에스,(주)에스와이코마드,2012-08-09,개봉영화,장편,대만,6 ,5205500,676 ,3687500,475 ,드라마,15세이상관람가,다양성영화
"3,761 ",뮤지컬 홀리데이 인,데이빗 혼,,C 무비,C 무비,2017-12-20,개봉영화,장편,미국,10 ,5368900,676 ,4263400,557 ,공연,전체관람가,상업영화
"3,762 ",카르멘,칼릭스토 비에이토,,에스디시코리아 주식회사,에스디시코리아 주식회사,2016-02-03,개봉영화,장편,영국,11 ,13521000,676 ,6682500,299 ,공연,12세이상관람가,상업영화
"3,763 ",해에게서 소년에게,안슬기,"(주)타이거시네마,DGC",,주식회사 디에스이이디,2015-11-19,개봉영화,장편,한국,21 ,4549500,675 ,2411500,311 ,드라마,15세이상관람가,다양성영화
"3,764 ",꽃과 뱀: 더 제로,하시모토 하지메,,(주)엔케이컨텐츠,(주)엔케이컨텐츠,2014-09-17,개봉영화,장편,일본,5 ,3472000,672 ,0,0 ,스릴러,청소년관람불가,상업영화
"3,765 ",애프터매스,엘리어트 레스터,,㈜코리아스크린,㈜코리아스크린,2018-04-19,개봉영화,장편,미국,21 ,5547600,669 ,1719600,191 ,드라마,15세이상관람가,다양성영화
"3,766 ",레볼루션 아일랜드,표도르 본다르추크,,(주)수키픽쳐스,(주)수키픽쳐스,2013-05-29,개봉영화,장편,러시아,3 ,3340000,668 ,3340000,668 ,SF,15세이상관람가,상업영화
"3,767 ",버크 앤 헤어,존 랜디스,,(주)수키픽쳐스,(주)수키픽쳐스,2013-05-22,개봉영화,장편,영국,5 ,3340000,668 ,3340000,668 ,코미디,청소년관람불가,상업영화
"3,768 ",텔레비전,모스타파 사르와르 파루키,,(주)엣나인필름,(주)엣나인필름,2013-11-07,개봉영화,장편,기타,3 ,3977000,667 ,1563000,174 ,코미디,전체관람가,다양성영화
"3,769 ",세븐데이즈,다니엘 그로우,,(주)메인타이틀픽쳐스,(주)미디어데이,2013-01-31,개봉영화,장편,캐나다,5 ,4662000,666 ,4662000,666 ,스릴러,청소년관람불가,상업영화
"3,770 ",워킹 스트리트,이상우,"(주)컨텐츠로드,(주)케이피필름",,(주)모멘텀엔터테인먼트,2016-11-17,개봉영화,장편,한국,3 ,4020100,664 ,3590000,590 ,드라마,청소년관람불가,다양성영화
"3,771 ",내일,"시릴 디옹,멜라니 로랑",,플랫폼C,플랫폼C,2018-04-05,개봉영화,장편,프랑스,5 ,4070000,663 ,2320000,306 ,다큐멘터리,전체관람가,다양성영화
"3,772 ",들꽃,박석영,(주)무비엔진,,(주)인디플러그,2015-11-05,개봉영화,장편,한국,12 ,5192300,663 ,4129300,509 ,드라마,청소년관람불가,다양성영화
"3,773 ",카라스: 프로퍼시,사토 케이이치,,에이원엔터테인먼트,에이원엔터테인먼트,2013-08-29,개봉영화,장편,일본,5 ,5102000,663 ,3276000,421 ,애니메이션,15세이상관람가,상업영화
"3,774 ",오디세오,정성복,(주)패뷸러스,,(주)패뷸러스,2015-10-22,개봉영화,장편,한국,8 ,9880000,662 ,6260000,419 ,공연,전체관람가,상업영화
"3,775 ",프리 파이어,벤 휘틀리,,(주)영화사오원,(주)영화사오원,2017-12-07,개봉영화,장편,프랑스,11 ,5057500,662 ,3509500,449 ,액션,청소년관람불가,다양성영화
"3,776 ",화장실의 피에타,마츠나가 다이시,,"(주)영화공간,(주)가보차",THE 픽쳐스,2015-10-29,개봉영화,장편,일본,3 ,5139000,661 ,4545000,550 ,멜로/로맨스,15세이상관람가,다양성영화
"3,777 ",천 번을 불러도,신성섭,(주)에스아이지,,(주)씨타마운틴픽쳐스,2014-10-16,개봉영화,장편,한국,9 ,4571700,659 ,3189200,447 ,드라마,15세이상관람가,다양성영화
"3,778 ",낫 마이 데이,피터 쏘워스,,(주)컴퍼니엘,(주)컴퍼니엘,2015-10-08,개봉영화,장편,독일,4 ,3280000,656 ,1100000,220 ,액션,청소년관람불가,다양성영화
"3,779 ",허풍,공자관,"골든타이드픽처스(주),밀크픽처스",,골든타이드픽처스(주),2013-08-14,개봉영화,장편,한국,3 ,3031000,656 ,1008000,201 ,코미디,청소년관람불가,상업영화
"3,780 ",기적: 그 날의 소비토,카네시게 아츠시,,(주)에이원엔터테인먼트,(주)에이원엔터테인먼트,2017-10-19,개봉영화,장편,일본,16 ,4136500,654 ,2411500,421 ,드라마,12세이상관람가,다양성영화
"3,781 ",미스터 쉐프,엽위민,,즐감,즐감,2017-08-18,개봉영화,장편,중국,5 ,3984000,652 ,3879000,608 ,드라마,12세이상관람가,다양성영화
"3,782 ",아오하라이드,미키 타카히로,,(주)엔케이컨텐츠,(주)엔케이컨텐츠,2016-03-03,개봉영화,장편,일본,10 ,5234000,650 ,3045500,368 ,드라마,12세이상관람가,다양성영화
"3,783 ",흑협 2,서극,,태창엔터테인먼트(주),태창엔터테인먼트(주),2013-11-20,개봉영화,장편,홍콩,5 ,1610000,650 ,500000,100 ,액션,15세이상관람가,상업영화
"3,784 ",리얼리티: 꿈의 미로,마테오 가로네,,㈜영화사 백두대간,㈜영화사 백두대간,2014-04-03,개봉영화,장편,이탈리아,7 ,4856000,649 ,3081000,369 ,드라마,15세이상관람가,다양성영화
"3,785 ",라 체네렌톨라 ,,,(주)인스터피씨엠,(주)인스터피씨엠,2014-11-01,개봉영화,장편,미국,3 ,9908000,648 ,8760000,572 ,공연,전체관람가,상업영화
"3,786 ",울트라 미라클 러브 스토리,요코하마 사토코,,(주)영화사 진진,(재)전주국제영화제조직위원회,2011-04-14,개봉영화,장편,일본,5 ,4473600,647 ,3515600,463 ,드라마,12세이상관람가,다양성영화
"3,787 ",엘사 앤 프레드,마이클 래드포드,,㈜코리아스크린,㈜코리아스크린,2015-12-06,개봉영화,장편,미국,1 ,1932000,644 ,1932000,644 ,멜로/로맨스,12세이상관람가,상업영화
"3,788 ",오텔로,크리스티안 틸레만,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2017-04-16,개봉영화,장편,독일,7 ,15388500,641 ,10840500,453 ,공연,12세이상관람가,상업영화
"3,789 ",고스트 킬러: 모니카,스티븐 R. 몬로,,주식회사 풍경소리,주식회사 풍경소리,2014-03-27,개봉영화,장편,미국,5 ,3280000,634 ,1890000,378 ,액션,청소년관람불가,상업영화
"3,790 ",누드 모델,고먼 베차드,,주식회사 풍경소리,주식회사 풍경소리,2014-03-20,개봉영화,장편,미국,5 ,3280000,634 ,1890000,378 ,드라마,청소년관람불가,상업영화
"3,791 ",마징카이저,카와고에 준,,(유)조이앤컨텐츠그룹,팝엔터테인먼트,2011-10-27,개봉영화,장편,일본,24 ,4087500,632 ,2033000,296 ,애니메이션,12세이상관람가,상업영화
"3,792 ",전쟁과 한 여자,이노우에 준이치,,(주)엣나인필름,(주)엣나인필름,2013-08-15,개봉영화,장편,일본,2 ,5538000,632 ,5398000,612 ,드라마,청소년관람불가,다양성영화
"3,793 ",미녀전쟁,임진승,골든타이드픽처스(주),,골든타이드픽처스(주),2013-12-19,개봉영화,장편,한국,4 ,2905000,631 ,1000000,200 ,코미디,청소년관람불가,상업영화
"3,794 ",하숙집,경석호,영화사 인연,,(주)소나무픽쳐스,2015-02-25,개봉영화,장편,한국,5 ,3305000,630 ,385000,70 ,멜로/로맨스,청소년관람불가,상업영화
"3,795 ",가면무도회,안드레아 바티스토니,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2015-09-12,개봉영화,장편,독일,6 ,15340500,629 ,9845000,410 ,공연,12세이상관람가,상업영화
"3,796 ",댄싱 채플린,수오 마사유키,,(주)스폰지이엔티,(주)영화사 조제,2012-01-26,개봉영화,장편,일본,6 ,5101000,626 ,4529500,555 ,다큐멘터리,전체관람가,다양성영화
"3,797 ",아내업고 달리기,샤랏 카타리야,,주식회사 씨엠닉스,주식회사 씨엠닉스,2016-11-10,개봉영화,장편,인도,10 ,4770500,624 ,2401500,307 ,코미디,15세이상관람가,다양성영화
"3,798 ",내 친구의 아내,탁승오,(주)씨네토리,,(주)소나무픽쳐스,2015-12-03,개봉영화,장편,한국,20 ,4493000,622 ,1713000,202 ,멜로/로맨스,청소년관람불가,상업영화
"3,799 ",후쿠시마의 미래,이홍기,(주)리키필름,,(주)인디플러그,2015-04-09,개봉영화,장편,한국,7 ,4218000,621 ,2529000,376 ,다큐멘터리,전체관람가,다양성영화
"3,800 ",오즈의 마법사,빅터 플레밍,,(주)씨타마운틴픽쳐스,(주)씨타마운틴픽쳐스,2012-05-03,개봉영화,장편,미국,7 ,3561000,619 ,2248000,343 ,가족,전체관람가,다양성영화
"3,801 ",카르페디엠,레이노앗 오얼레만스,,(주)인영트레이딩,프리비젼엔터테인먼트,2013-06-27,개봉영화,장편,네덜란드,1 ,4887000,618 ,4887000,618 ,드라마,청소년관람불가,다양성영화
"3,802 ",수상한 언니들,노진수,(주)인터하우스,,(주)투한미디어,2016-03-03,개봉영화,장편,한국,21 ,3333000,616 ,2451000,447 ,멜로/로맨스,청소년관람불가,상업영화
"3,803 ",짓2: 붉은 낙타,노진수,㈜리필름,,(주)드림팩트엔터테인먼트,2015-08-07,개봉영화,장편,한국,20 ,3146000,616 ,846000,169 ,드라마,청소년관람불가,상업영화
"3,804 ",꼭 껴안고 눈물 핑,김동원,"㈜렛츠필름,㈜킴클스",,(주)영화사 조제,2011-03-10,개봉영화,장편,한국,8 ,4552000,614 ,2325500,289 ,드라마,15세이상관람가,다양성영화
"3,805 ",왕초와 용가리,이창준,봄저너머 미디어,,㈜인디스토리,2016-09-08,개봉영화,장편,한국,8 ,4205200,614 ,3177700,460 ,다큐멘터리,15세이상관람가,다양성영화
"3,806 ",아스타 라 비스타,제프리 엔트호벤,,㈜인디스토리,㈜인디스토리,2015-11-19,개봉영화,장편,벨기에,7 ,3788300,612 ,2120500,335 ,드라마,15세이상관람가,다양성영화
"3,807 ",트루스 어바웃 엠마누엘,프란체스카 그레고리니,,(주)유로커뮤니케이션,(주)유로커뮤니케이션,2015-09-17,개봉영화,장편,미국,9 ,4632500,611 ,3456500,427 ,드라마,15세이상관람가,다양성영화
"3,808 ",콤플렉스,나카타 히데오,,미디어소프트,미디어소프트,2013-07-25,개봉영화,장편,일본,4 ,4804000,608 ,4414000,547 ,공포(호러),15세이상관람가,상업영화
"3,809 ",와일드 타겟,조나단 린,,주식회사 루믹스미디어,(주)에스와이코마드,2011-12-29,개봉영화,장편,영국,4 ,4571500,607 ,2144000,271 ,드라마,15세이상관람가,상업영화
"3,810 ",베드,박철수,씨네힐,,(주)씨타마운틴픽쳐스,2013-01-17,개봉영화,장편,한국,9 ,4186000,606 ,1984000,285 ,드라마,청소년관람불가,다양성영화
"3,811 ",꿈의 공장,김성균,,,시네마달,2011-09-01,개봉영화,장편,한국,4 ,3707000,605 ,2441000,366 ,다큐멘터리,12세이상관람가,다양성영화
"3,812 ",전망 좋은 집 2,경석호,영화사 인연,,(주)소나무픽쳐스,2015-05-27,개봉영화,장편,한국,20 ,3032000,605 ,364000,68 ,멜로/로맨스,청소년관람불가,상업영화
"3,813 ",선생님!... 좋아해도 될까요?,미키 타카히로,,(주)스마일이엔티,(주)스마일이엔티,2018-04-06,개봉영화,장편,일본,6 ,4903000,604 ,2581000,318 ,드라마,12세이상관람가,다양성영화
"3,814 ",광야의 40일,로드리고 가르시아,,(주)무브먼트 픽쳐스,THE 픽쳐스,2017-05-11,개봉영화,장편,미국,10 ,3953500,602 ,2539000,338 ,어드벤처,12세이상관람가,다양성영화
"3,815 ",남편만 몰라요,고광현,(주)큰손엔터테인먼트,,더그레이트 컴퍼니,2015-07-07,개봉영화,장편,한국,20 ,2995000,601 ,313000,62 ,멜로/로맨스,청소년관람불가,상업영화
"3,816 ",토스카나 웨딩,요한 니젠허스,,주식회사 풍경소리,주식회사 풍경소리,2014-04-30,개봉영화,장편,네덜란드,5 ,2992500,601 ,1890000,378 ,멜로/로맨스,청소년관람불가,상업영화
"3,817 ",패밀리 S다이어리,힐데 반 미에그헴,,주식회사 풍경소리,주식회사 풍경소리,2014-04-24,개봉영화,장편,네덜란드,5 ,2992500,601 ,2160000,432 ,멜로/로맨스,청소년관람불가,상업영화
"3,818 ",구화영웅,곽자건,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-06-26,개봉영화,장편,중국,2 ,1245000,600 ,800000,400 ,코미디,15세이상관람가,다양성영화
"3,819 ",안젤리크,아리엘 제이통,,(주)더블앤조이픽쳐스,(주)더블앤조이픽쳐스,2016-01-28,개봉영화,장편,프랑스,5 ,3096000,599 ,0,0 ,드라마,청소년관람불가,다양성영화
"3,820 ",우리들의 헤어진 여자친구,이광호,"골든타이드픽처스(주),밀크픽처스",,골든타이드픽처스(주),2013-08-29,개봉영화,장편,한국,4 ,2889000,599 ,1000000,200 ,멜로/로맨스,청소년관람불가,다양성영화
"3,821 ",엘렉트라,,,(주)인스터피씨엠,(주)인스터피씨엠,2016-11-05,개봉영화,장편,미국,6 ,13171500,597 ,10498500,468 ,공연,12세이상관람가,상업영화
"3,822 ",폭력의 법칙: 나쁜 피 두 번째 이야기,강효진,(주)키노크러시,,(주)영화사 안다미로,2016-10-20,개봉영화,장편,한국,10 ,4578000,597 ,4041000,522 ,드라마,청소년관람불가,다양성영화
"3,823 ",피닉스 라이트 사건,키스 아렘,,(유)영화사 화수분,주식회사 쇼미미디어앤트레이딩,2016-08-03,개봉영화,장편,미국,15 ,4385500,596 ,2746500,357 ,미스터리,15세이상관람가,다양성영화
"3,824 ",걱정말아요,"소준문,김대견,신종훈",(주)레인보우팩토리,,(주)레인보우팩토리,2017-01-05,개봉영화,옴니버스,한국,15 ,4320500,594 ,2974700,378 ,드라마,청소년관람불가,다양성영화
"3,825 ",인투 더 나잇,갈재민,(주)시네마달,,(주)시네마달,2018-03-29,개봉영화,장편,한국,14 ,4704300,593 ,4636000,584 ,다큐멘터리,12세이상관람가,다양성영화
"3,826 ",토미웅거러 스토리,브래드 번스타인,,(주)씨타마운틴픽쳐스,(주)씨타마운틴픽쳐스,2014-11-13,개봉영화,장편,프랑스,4 ,4627000,592 ,3482000,414 ,다큐멘터리,청소년관람불가,다양성영화
"3,827 ",플랑크 상수,조성규,(주)영화사 조제,,하준사,2015-04-30,개봉영화,장편,한국,5 ,4861500,592 ,4617500,559 ,드라마,청소년관람불가,다양성영화
"3,828 ",착한 처제,강훈,"쟈비스미디어,PK미디어크레이티브",,쟈비스미디어,2015-11-19,개봉영화,장편,한국,19 ,3723000,588 ,2034000,266 ,드라마,청소년관람불가,상업영화
"3,829 ",태아 3D,표만석,KBS 미디어,,(주)팝엔터테인먼트,2013-04-18,개봉영화,장편,한국,7 ,6671500,586 ,4456500,385 ,다큐멘터리,전체관람가,다양성영화
"3,830 ",히든 페이스,안드레스 바이즈,,(주)더블앤조이픽쳐스,(주)더블앤조이픽쳐스,2014-09-17,개봉영화,장편,스페인,11 ,3673500,585 ,888500,136 ,스릴러,청소년관람불가,다양성영화
"3,831 ",일분만 더,진혜령,,성길시네마,"성길시네마,아이제이미디어(주)",2015-04-09,개봉영화,장편,대만,15 ,4243000,584 ,2162500,292 ,멜로/로맨스,15세이상관람가,다양성영화
"3,832 ",포비아,"반종 피산다나쿤,파윈 푸리킷판야,용유스 통콘툰,팍품 웡품",,(주)더블앤조이픽쳐스,(주)더블앤조이픽쳐스,2014-09-13,개봉영화,장편,태국,10 ,3749500,584 ,846500,128 ,공포(호러),청소년관람불가,다양성영화
"3,833 ",모던발레 채플린,소니아 파라모,,그린나래미디어(주),그린나래미디어(주),2014-11-20,개봉영화,장편,독일,14 ,8145000,583 ,5175000,391 ,공연,12세이상관람가,다양성영화
"3,834 ",발레뤼스,벨로 판,,에스디시코리아 주식회사,에스디시코리아 주식회사,2016-11-16,개봉영화,장편,프랑스,11 ,9937000,582 ,4414000,230 ,공연,전체관람가,상업영화
"3,835 ",사이에서,"어일선,민두식","(주)씨타도시공간,영화사 민들레",,"(주)씨타마운틴픽쳐스,영화사 민들레",2012-11-22,개봉영화,옴니버스,한국,6 ,3184500,582 ,2267500,442 ,드라마,청소년관람불가,다양성영화
"3,836 ",돈 카를로,피터 스테인,,(주)케빈앤컴퍼니,(주)쓰리캣프로덕션,2014-05-31,개봉영화,장편,독일,5 ,14716000,581 ,10303500,425 ,공연,전체관람가,다양성영화
"3,837 ",신부의 아이들,빈코 브레잔,,(주)영화사 진진,(주)영화사 진진,2014-04-17,개봉영화,장편,크로아티아,5 ,4427000,581 ,3602000,449 ,코미디,청소년관람불가,다양성영화
"3,838 ",이프!,엘렌 스미트,,영화사 보라,영화사 보라,2013-05-02,개봉영화,장편,네덜란드,8 ,3368000,580 ,749000,107 ,판타지,전체관람가,다양성영화
"3,839 ",데싸우 댄서스,장 마틴 샤프,,(주)유로커뮤니케이션,(주)유로커뮤니케이션,2015-12-24,개봉영화,장편,독일,9 ,4179000,579 ,3045000,376 ,코미디,15세이상관람가,다양성영화
"3,840 ",스타: 빛나는 사랑,한상희,(주)맑음영화사,,(주)씨타마운틴픽쳐스,2012-10-11,개봉영화,장편,한국,5 ,4382000,577 ,3213000,414 ,멜로/로맨스,12세이상관람가,상업영화
