개봉일람 검색,,,,,,,,,,,,,,,,,
검색조건:[조회기간:2011년~2018년 대표국적:전체 영화구분:전체 영화유형:개봉영화],,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
52 ,덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,개봉영화,장편,한국,964 ,44344141109,"5,593,551 ",10625578869,"1,304,324 ",사극,12세이상관람가,상업영화
53 ,더 테러 라이브,김병우,(주)씨네이천,,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,개봉영화,장편,한국,743 ,39866712881,"5,583,596 ",11349884881,"1,525,130 ",범죄,15세이상관람가,상업영화
54 ,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,개봉영화,장편,미국,"1,290 ",47800698826,"5,546,792 ",13625824326,"1,502,391 ",액션,12세이상관람가,상업영화
55 ,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,개봉영화,장편,미국,"1,972 ",48576443937,"5,519,298 ",12201230637,"1,305,228 ",액션,12세이상관람가,상업영화
56 ,감시자들,"조의석,김병서",영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,개봉영화,장편,한국,949 ,39298005179,"5,496,547 ",11031549179,"1,477,594 ",범죄,15세이상관람가,상업영화
57 ,닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,개봉영화,장편,미국,"1,503 ",47482530396,"5,446,379 ",15365072146,"1,657,823 ",액션,12세이상관람가,상업영화
58 ,검은 사제들,장재현,영화사 집,,씨제이이앤엠(주),2015-11-05,개봉영화,장편,한국,"1,088 ",42395347092,"5,440,945 ",11618059792,"1,428,491 ",미스터리,15세이상관람가,상업영화
59 ,블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,개봉영화,장편,미국,"1,620 ",45883573457,"5,399,070 ",13105688057,"1,468,761 ",액션,12세이상관람가,상업영화
60 ,더 킹,한재림,(주)우주필름,,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,개봉영화,장편,한국,"1,310 ",43486078535,"5,316,325 ",11144618435,"1,318,493 ",범죄,15세이상관람가,상업영화
61 ,완득이,이한,"(주)유비유필름,어나더픽쳐스(주)",,씨제이이앤엠(주),2011-10-20,개봉영화,장편,한국,500 ,38530503500,"5,310,510 ",11657798500,"1,525,277 ",드라마,12세이상관람가,상업영화
62 ,트랜스포머: 사라진 시대,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2014-06-25,개봉영화,장편,미국,"1,602 ",44012272845,"5,295,801 ",11664376045,"1,323,527 ",액션,12세이상관람가,상업영화
63 ,월드 워 Z,마크 포스터,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,개봉영화,장편,미국,964 ,38555357000,"5,237,525 ",12048296500,"1,562,677 ",드라마,15세이상관람가,상업영화
64 ,타워,김지훈,"씨제이이앤엠(주),(주)더타워픽쳐스",,씨제이이앤엠(주),2012-12-25,개봉영화,장편,한국,617 ,37654858000,"5,181,014 ",9052298500,"1,186,378 ",드라마,12세이상관람가,상업영화
65 ,미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,개봉영화,장편,미국,"1,627 ",42130589579,"5,137,993 ",13177630229,"1,531,839 ",멜로/로맨스,전체관람가,상업영화
66 ,쿵푸팬더 2,여인영,,씨제이이앤엠(주),씨제이이앤엠(주),2011-05-26,개봉영화,장편,미국,948 ,44298724500,"5,062,722 ",14917759000,"1,575,363 ",애니메이션,전체관람가,상업영화
67 ,독전,이해영,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,개봉영화,장편,한국,"1,357 ",43314359313,"5,043,827 ",10604717413,"1,195,393 ",범죄,15세이상관람가,상업영화
68 ,인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-07-09,개봉영화,장편,미국,777 ,38015586936,"4,968,687 ",12814825236,"1,594,626 ",애니메이션,전체관람가,상업영화
69 ,킹스맨: 골든 서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,개봉영화,장편,미국,"1,687 ",40987484736,"4,945,484 ",12306638886,"1,419,759 ",액션,청소년관람불가,상업영화
70 ,바람과 함께 사라지다,김주호,"(주)두타연,(주)에이디사공육",,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,개봉영화,장편,한국,694 ,34524377161,"4,897,551 ",8302901161,"1,122,802 ",코미디,12세이상관람가,상업영화
71 ,마션,리들리 스콧,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-10-08,개봉영화,장편,미국,"1,132 ",39612764295,"4,875,494 ",12914889095,"1,509,471 ",액션,12세이상관람가,상업영화
72 ,토르: 라그나로크,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,개봉영화,장편,미국,"1,640 ",39248432595,"4,857,152 ",12088848195,"1,419,464 ",액션,12세이상관람가,상업영화
73 ,어메이징 스파이더맨,마크 웹,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,개봉영화,장편,미국,"1,118 ",41163951235,"4,853,123 ",13100185524,"1,446,116 ",액션,12세이상관람가,상업영화
74 ,"님아, 그 강을 건너지 마오",진모영,아거스필름,,"CGV아트하우스,(주)대명문화공장",2014-11-27,개봉영화,장편,한국,206 ,37354452679,"4,801,355 ",9129018879,"1,140,795 ",다큐멘터리,전체관람가,다양성영화
75 ,조선명탐정 : 각시투구꽃의 비밀,김석윤,청년필름(주),,(주)쇼박스,2011-01-27,개봉영화,장편,한국,611 ,35841769500,"4,786,259 ",10712744000,"1,363,857 ",코미디,12세이상관람가,상업영화
76 ,군도: 민란의 시대,윤종빈,"(주)영화사 월광,(주)쇼박스",,(주)쇼박스,2014-07-23,개봉영화,장편,한국,"1,394 ",36987755999,"4,774,895 ",9976707399,"1,239,945 ",사극,15세이상관람가,상업영화
77 ,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,"(주)팔레트픽처스,(주)쇼박스",,(주)쇼박스,2012-02-02,개봉영화,장편,한국,699 ,36479147500,"4,710,454 ",11716858500,"1,451,900 ",범죄,청소년관람불가,상업영화
78 ,주토피아,"바이론 하워드,리치 무어",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-02-17,개봉영화,장편,미국,661 ,37077444042,"4,703,245 ",12142771642,"1,465,960 ",애니메이션,전체관람가,상업영화
79 ,엣지 오브 투모로우,더그 라이만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-06-04,개봉영화,장편,미국,801 ,38703942201,"4,697,142 ",12201872401,"1,401,887 ",액션,12세이상관람가,상업영화
80 ,신세계,박훈정,"(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,개봉영화,장편,한국,671 ,34881330905,"4,682,492 ",11114978905,"1,435,648 ",범죄,청소년관람불가,상업영화
81 ,신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,개봉영화,장편,미국,"1,431 ",39337263058,"4,666,993 ",12640487458,"1,425,528 ",어드벤처,12세이상관람가,상업영화
82 ,도가니,황동혁,"(주)삼거리픽쳐스,(주)판타지오",,씨제이이앤엠(주),2011-09-22,개봉영화,장편,한국,644 ,35566854800,"4,662,822 ",10141606500,"1,267,508 ",드라마,청소년관람불가,상업영화
83 ,내 아내의 모든 것,민규동,"(주)수필름,영화사 집",,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,개봉영화,장편,한국,563 ,34222160500,"4,598,583 ",11547286500,"1,475,165 ",코미디,15세이상관람가,상업영화
84 ,판도라,박정우,(주)씨에이씨엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,개봉영화,장편,한국,"1,166 ",35965733064,"4,571,142 ",7213559964,"880,999 ",드라마,12세이상관람가,상업영화
85 ,연가시,박정우,(주)오죤필름,,씨제이이앤엠(주),2012-07-05,개봉영화,장편,한국,759 ,32154766664,"4,513,026 ",7819583000,"1,040,068 ",공포(호러),15세이상관람가,상업영화
86 ,강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩앤알프레드",,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,개봉영화,장편,한국,"1,426 ",35478002466,"4,451,351 ",8694723516,"1,060,541 ",액션,15세이상관람가,상업영화
87 ,해리포터와 죽음의 성물2,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-07-13,개봉영화,장편,미국,757 ,34507819000,"4,400,298 ",11183806000,"1,361,311 ",판타지,전체관람가,상업영화
