,Unnamed: 0,rank,mname,director,provider,date,country,n_scrn,money,guest,genre,rating,grade,actor
1796,1796,"1,797",어떤살인,안용훈,"TCO(주)더콘텐츠온,(주)전망좋은 영화사",2015-10-28,한국,179,137025800,17190,스릴러,청소년관람불가,7.6,윤소이|신현빈|임서주|김혁|
1799,1799,"1,800",길,정인봉,(주)더블앤조이픽쳐스,2017-05-11,한국,54,75398600,17014,드라마,12세이상관람가,8.27,김혜자|송재호|허진|
1801,1801,"1,802",프라이버시,존 크로울리,(주)인벤트스톤,2014-03-20,영국,165,122664928,16936,범죄,15세이상관람가,7.37,에릭 바나|레베카 홀|짐 브로드벤트|
1802,1802,"1,803",월플라워,스티븐 크보스키,데이지엔터테인먼트,2013-04-11,미국,28,120379400,16912,드라마,15세이상관람가,9.08,엠마 왓슨|로건 레먼|에즈라 밀러|
1803,1803,"1,804",하늘이 보내준 딸,비자이,(주)싸이더스,2012-04-19,인도,107,113583500,16875,가족,전체관람가,8.71,치얀 비크람|사라 아준|
1804,1804,"1,805",잉투기,엄태화,CGV아트하우스,2013-11-14,한국,94,119852600,16859,액션,15세이상관람가,7.54,엄태구|류혜영|권율|
1806,1806,"1,807",명왕성,신수원,(주)싸이더스,2013-07-11,한국,78,114536500,16828,드라마,15세이상관람가,7.47,이다윗|성준|김꽃비|
1807,1807,"1,808",주문은 토끼입니까?? ~디어 마이 시스터~,하시모토 히로유키,(주)애니플러스,2018-01-18,일본,84,121079000,16655,애니메이션,전체관람가,4.57,사쿠라 아야네|미나세 이노리|타네다 리사|사토 사토미|우치다 마아야|
1808,1808,"1,809",여배우는 오늘도,문소리,(주)메타플레이 ,2017-09-14,한국,46,137010300,16646,드라마,15세이상관람가,8.87,문소리|
1809,1809,"1,810",산타바바라,조성규,(주)나이너스엔터테인먼트,2014-07-16,한국,101,125565919,16626,멜로/로맨스,15세이상관람가,7.29,이상윤|윤진서|이솜|
1811,1811,"1,812",7년-그들이 없는 언론,김진혁,(주)인디플러그,2017-01-12,한국,105,129175200,16577,다큐멘터리,12세이상관람가,8.52,강지웅|권성민|권석재|노종면|박성제|박성호|박진수|우장균|이근행|이용마|정영하|정유신|조승호|최승호|현덕수|이정호|이채훈|정대균|조상운|황일송|
1812,1812,"1,813",오드토머스,스티븐 소머즈,(주)영화사 빅,2014-08-27,미국,165,123233800,16555,액션,15세이상관람가,7.79,안톤 옐친|윌렘 대포|애디슨 팀린|레오노어 바레라|애슐리 소머즈|
1813,1813,"1,814",내 이야기!!,카와이 하야토,(주)영화사오원,2018-04-12,일본,143,141565800,16467,멜로/로맨스,12세이상관람가,9.04,스즈키 료헤이|나가노 메이|사카구치 켄타로|
1814,1814,"1,815",바르다가 사랑한 얼굴들,"아녜스 바르다,제이알",(주)영화사 진진,2018-06-14,프랑스,53,134711834,16466,다큐멘터리,전체관람가,8.92,아녜스 바르다|제이알|
1817,1817,"1,818",마돈나,신수원,(주)리틀빅픽쳐스,2015-07-02,한국,65,127237400,16385,드라마,청소년관람불가,7.74,서영희|권소현|김영민|변요한|
1820,1820,"1,821",리틀 폭스,갈수영,예지림엔터테인먼트,2016-06-23,중국,150,119098500,16204,애니메이션,전체관람가,7.36,이지현|김연우|박상훈|윤세웅|이현|서원석|교시우|유주|
1823,1823,"1,824",예전부터 계속 좋아했어 ~고백실행위원회~,야나기자와 테츠야,(주)디스테이션,2016-09-29,일본,77,120601500,16187,애니메이션,전체관람가,7.99,카미야 히로시|토마츠 하루카|카지 유우키|아스미 카나|스즈무라 켄이치|토요사키 아키|요나가 츠바사|하나에 나츠키|미도리카와 히카루|아마미야 소라|
1825,1825,"1,826",베이트,킴블 렌달,(주)팝파트너스,2013-08-08,호주,59,108522500,16091,공포(호러),15세이상관람가,5.13,자비에르 사무엘|샤니 빈슨|줄리안 맥마혼|포이베 톤킨|
1827,1827,"1,828",스파이 게임,마이클 앱티드,메가박스중앙(주)플러스엠,2017-09-14,영국,203,122840172,15986,액션,15세이상관람가,7.61,누미 라파스|토니 콜렛|올랜도 블룸|마이클 더글라스|존 말코비치|
1828,1828,"1,829",십계: 구원의 길,알렉상드르 아반치니,씨네그루(주)키다리이엔티,2017-04-13,브라질,97,104079500,15974,드라마,전체관람가,6.81,길예르미 윈터|세르지오 마로네|카밀라 로드리게즈|지젤 이티에|
1831,1831,"1,832",아기돼지 3형제와 쿵푸랜드,유위,와이드 릴리즈(주),2018-02-01,중국,154,103627100,15885,애니메이션,전체관람가,9.14,윤아영|이소은|최정현|이규창|
1832,1832,"1,833",어바웃 리키,조나단 드미,유니버설픽쳐스인터내셔널 코리아(유),2015-09-03,미국,123,118503900,15867,드라마,15세이상관람가,7.92,세바스찬 스탠|메릴 스트립|케빈 클라인|마미 검머|릭 스프링필드|
1833,1833,"1,834",로코왕국의 전설: 엘프킹을 찾아서,위성준,"(주)마인스 엔터테인먼트,(유)영화사 화수분",2014-06-26,중국,178,105367100,15846,애니메이션,전체관람가,6.19,이선호|배정미|임주현|유지원|
1834,1834,"1,835",키즈모노가타리 II : 열혈편,신보 아키유키,(주)박수엔터테인먼트,2016-10-20,일본,69,122123000,15800,애니메이션,15세이상관람가,8.51,카미야 히로시|사카모토 마아야|호리에 유이|사쿠라이 타카히로|
1835,1835,"1,836",웨스턴 리벤지,크리스티안 레브링,(주)영화사 빅,2014-10-30,덴마크,117,119414000,15671,액션,청소년관람불가,7.74,매즈 미켈슨|에바 그린|제프리 딘 모건|
1836,1836,"1,837",모스트 원티드 맨,안톤 코르빈,"(주)드림웨스트픽쳐스,(주)인벤트스톤",2014-08-07,영국,27,127325100,15654,스릴러,청소년관람불가,7.67,필립 세이모어 호프만|레이첼 맥아담스|윌렘 대포|로빈 라이트|
1839,1839,"1,840",토니스토리2: 고철왕국의 친구들,"토마스 보덴스타인,마커스 하먼",(주)박수엔터테인먼트,2018-06-13,독일,268,114496600,15539,애니메이션,전체관람가,5.64,신정훈|이민형|오은수|송영인|
1841,1841,"1,842",아메리칸 파이: 19금 동창회,"존 허위츠,헤이든 쉬로스버그",유니버설픽쳐스인터내셔널 코리아(유),2012-08-09,미국,117,113072000,15431,코미디,청소년관람불가,8.11,제이슨 빅스|타라 레이드|크리스 클라인|앨리슨 해니건|숀 윌리엄 스코트|미나 수바리|에디 케이 토마스|토마스 이안 니콜라스|
1847,1847,"1,848",아이 인 더 스카이,개빈 후드,판씨네마(주),2016-07-14,영국,205,116603200,15258,전쟁,12세이상관람가,8.38,아론 폴|헬렌 미렌|앨런 릭먼|바크하드 압디|
1848,1848,"1,849",아무도 머물지 않았다,아쉬가르 파르하디,(주)씨에이씨엔터테인먼트,2013-12-26,프랑스,26,114641500,15252,드라마,15세이상관람가,8,베레니스 베조|타하르 라힘|알리 모사파|
1849,1849,"1,850",스톤,존 커랜,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2011-10-06,미국,77,116295000,15241,드라마,청소년관람불가,8.09,조동인|김뢰하|박원상|
1854,1854,"1,855",슈퍼소닉,매트 화이트크로스,주식회사 씨네룩스,2016-11-24,영국,38,126445600,15074,다큐멘터리,15세이상관람가,9.3,노엘 갤러거|리암 갤러거|
1856,1856,"1,857",뷰티풀 라이,필리프 팔라도,씨제이이앤엠(주),2015-03-26,미국,91,112466200,15050,드라마,12세이상관람가,9.02,리즈 위더스푼|아놀드 오셍|게르 두아니|엠마뉴엘 잘|코리 스톨|사라 베이커|
1858,1858,"1,859",라이드 : 나에게로의 여행,헬렌 헌트,(주)티캐스트,2015-07-16,미국,29,123755700,15039,드라마,15세이상관람가,8.11,브렌튼 스웨이츠|헬렌 헌트|로버트 네퍼|루크 윌슨|
1861,1861,"1,862",고양이를 빌려드립니다,오기가미 나오코,(주)영화사 조제,2012-12-13,일본,9,115430500,14983,드라마,12세이상관람가,8.08,이치카와 미카코|쿠사무라 레이코|미츠이시 켄|
1862,1862,"1,863",캡틴 판타스틱,매트 로스,주식회사 더쿱,2016-11-30,미국,86,114188400,14976,드라마,15세이상관람가,8.7,비고 모텐슨|조지 맥케이|사만다 이슬러|애너리즈 바쏘|니콜라스 해밀턴|슈리 크룩스|찰리 쇼트웰|
1863,1863,"1,864",버진 스노우,그렉 아라키,(주)영화사오원,2014-12-10,프랑스,126,113076354,14964,미스터리,청소년관람불가,6.98,쉐일린 우들리|에바 그린|크리스토퍼 멜로니|실로 페르난데즈|가보리 시디베|
1864,1864,"1,865",로즈,짐 쉐리단,(주)박수엔터테인먼트,2017-04-12,아일랜드,125,113253541,14955,멜로/로맨스,15세이상관람가,7.96,루니 마라|잭 레이너|
1866,1866,"1,867",하나와 미소시루,아쿠네 토모아키,(주)영화사 진진,2016-04-27,일본,104,112899538,14925,가족,전체관람가,8.34,히로스에 료코|타키토 켄이치|히토토 요|콘노 마히루|하라다 키와코|하루카제 히토미|아카마츠 에미나|
1867,1867,"1,868",사랑이 이긴다,민병훈,(주)리틀빅픽쳐스,2015-09-10,한국,48,114003900,14916,가족,15세이상관람가,7.16,장현성|최정원|오유진|
1868,1868,"1,869",토이 가디언즈,"신우,황연",(주)팝엔터테인먼트,2018-03-15,중국,136,114322000,14857,애니메이션,전체관람가,7.24,박소라|장경희|안종덕|고성일|박영화|변종필|윤복성|
1869,1869,"1,870",이민자,제임스 그레이,주식회사 씨네룩스,2015-09-03,미국,36,115862023,14807,드라마,15세이상관람가,7.89,제레미 레너|마리옹 꼬띠아르|호아킨 피닉스|
1870,1870,"1,871",나쁜놈은 죽는다,손호,"TCO(주)더콘텐츠온,(유)조이앤시네마",2016-02-04,중국,138,115698700,14767,코미디,15세이상관람가,3.21,손예진|진백림|신현준|
1872,1872,"1,873",데드폴,스테판 루조비츠키,(주)에스비에스콘텐츠허브,2013-01-23,미국,82,101887000,14744,범죄,청소년관람불가,6.51,에릭 바나|올리비아 와일드|찰리 허냄|
1873,1873,"1,874",비거 스플래쉬,루카 구아다그니노,찬란,2016-08-03,이탈리아,40,116255129,14711,멜로/로맨스,청소년관람불가,7.16,랄프 파인즈|다코타 존슨|마티아스 쇼에나에츠|틸다 스윈튼|
1874,1874,"1,875",쇼를 사랑한 남자,스티븐 소더버그,(주)티캐스트콘텐츠허브,2013-10-09,미국,26,112817792,14696,드라마,청소년관람불가,7.72,마이클 더글라스|맷 데이먼|로브 로우|
1875,1875,"1,876",콜로설,나초 비갈론도,(주)드림팩트엔터테인먼트,2017-04-20,캐나다,305,114967100,14687,액션,12세이상관람가,5.14,앤 해서웨이|제이슨 서디키스|
1876,1876,"1,877",안녕?! 오케스트라,이철하,(주)영화사 진진,2013-11-28,한국,49,91780500,14665,다큐멘터리,전체관람가,8.66,리처드 용재 오닐|
1878,1878,"1,879",피노키오의 모험,안나 저스티스,(주)소나무픽쳐스,2014-09-18,독일,54,105233300,14557,애니메이션,전체관람가,8.23,마리오 아도프|아론 키지오프|
1880,1880,"1,881",엘리펀트 송,찰스 비네임,(주)엣나인필름,2015-06-11,캐나다,49,113991400,14488,미스터리,15세이상관람가,7.58,브루스 그린우드|자비에 돌란|캐서린 키너|캐리 앤 모스|
1881,1881,"1,882",공정사회,이지승,(주)엣나인필름,2013-04-18,한국,37,97348000,14461,드라마,청소년관람불가,6.63,장영남|마동석|황태광|배성우|
1882,1882,"1,883",어느 하녀의 일기,브누와 쟉꼬,주식회사 씨네룩스,2015-08-06,프랑스,37,110710900,14436,드라마,청소년관람불가,6.6,레아 세이두|뱅상 랭동|
1883,1883,"1,884",갬빗,마이클 호프만,(주)나이너스엔터테인먼트,2013-11-28,미국,94,95213128,14426,코미디,15세이상관람가,7.06,콜린 퍼스|카메론 디아즈|앨런 릭먼|톰 커트니|스탠리 투치|
1884,1884,"1,885",춘몽,장률,"(주)프레인글로벌,(주)스톰픽쳐스코리아",2016-10-13,한국,96,114343700,14423,드라마,15세이상관람가,7.98,한예리|양익준|박정범|윤종빈|
1885,1885,"1,886",무수단,구모,오퍼스픽쳐스,2016-03-03,한국,228,112188400,14386,미스터리,15세이상관람가,3.04,이지아|김민준|
1886,1886,"1,887",리틀 보이,알레한드로 몬테베르드,메가박스중앙(주)플러스엠,2015-12-10,미국,143,100778300,14343,드라마,12세이상관람가,8.97,에밀리 왓슨|케빈 제임스|데이빗 헨리|제이콥 살바티|캐리 히로유키 타카와|마이클 래파포트|톰 윌킨슨|
1887,1887,"1,888",터치 오브 라이트,장영치,씨너스엔터테인먼트(주),2013-03-14,대만,128,94716000,14323,드라마,전체관람가,8.86,장용용|황유상|이열|가숙근|
1888,1888,"1,889",브링 홈: 아버지의 땅,텐진 체탄 초클리,(주)드림팩트엔터테인먼트,2016-09-01,한국,36,111180200,14289,다큐멘터리,전체관람가,9.41,김민종|텐진 릭돌|
1889,1889,"1,890",라스트 홈,라민 바흐러니,(주)브리즈픽처스,2016-04-07,미국,163,109954000,14241,드라마,15세이상관람가,8.24,앤드류 가필드|마이클 섀넌|로라 던|
1890,1890,"1,891",개구리왕국 2,펭 페이,예지림엔터테인먼트,2017-03-23,중국,171,99741700,14236,애니메이션,전체관람가,7,사문영|이경태|임주현|홍진욱|윤세웅|이현|
1891,1891,"1,892",하나와 앨리스: 살인사건,이와이 슌지,씨제이이앤엠(주),2015-05-27,일본,67,112007100,14226,애니메이션,12세이상관람가,8.44,아오이 유우|스즈키 안|
1892,1892,"1,893",아티스트 봉만대,봉만대,씨너스엔터테인먼트(주),2013-08-29,한국,131,93817000,14188,코미디,청소년관람불가,7.73,봉만대|곽현화|성은|이파니|
