,날짜,요일,영화명,매출액,매출액점유율,매출액증감,누적매출액,관객수,관객수증감,누적관객수,스크린수,상영횟수
5,2018년 04월 25일,wed,콰이어트 플레이스,"19,009,600",0.3%,"-78,662,300
(-80.5%)","4,251,196,327","2,869","-8,985
(-75.8%)","488,356",147,207
6,2018년 04월 25일,wed,바람 바람 바람,"12,713,400",0.2%,"-80,584,100
(-86.4%)","9,726,905,675","2,023","-9,809
(-82.9%)","1,186,980",94,138
7,2018년 04월 25일,wed,나를 기억해,"10,881,500",0.1%,"-87,657,000
(-89.0%)","1,182,107,745","1,544","-10,681
(-87.4%)","134,924",217,252
8,2018년 04월 25일,wed,클레어의 카메라,"8,046,300",0.1%,"8,046,300
(100.0%)","9,710,300","1,255","1,255
(100.0%)","1,463",63,131
9,2018년 04월 25일,wed,덕구,"7,176,500",0.1%,"-19,442,700
(-73.0%)","2,298,269,800","1,197","-2,542
(-68.0%)","301,564",55,71
0,2018년 04월 26일,thu,어벤져스: 인피니티 워,"5,195,838,900",94.3%,"-1,733,432,200
(-25.0%)","12,134,470,000","595,668","-384,374
(-39.2%)","1,576,334","2,394","11,629"
1,2018년 04월 26일,thu,그날 바다,"61,046,100",1.1%,"-9,132,100
(-13.0%)","3,614,430,900","7,832","-3,448
(-30.6%)","438,102",392,697
2,2018년 04월 26일,thu,살인소설,"40,861,400",0.7%,"-8,922,600
(-17.9%)","110,997,400","5,260","-2,567
(-32.8%)","15,631",434,863
3,2018년 04월 26일,thu,램페이지,"35,383,700",0.6%,"-8,870,400
(-20.0%)","11,655,469,227","4,402","-2,861
(-39.4%)","1,349,578",345,590
4,2018년 04월 26일,thu,콰이어트 플레이스,"21,979,600",0.4%,"2,970,000
(15.6%)","4,273,175,927","2,639","-230
(-8.0%)","490,995",151,215
5,2018년 04월 26일,thu,당갈,"17,026,100",0.3%,"-48,064,400
(-73.8%)","233,592,600","2,235","-5,741
(-72.0%)","28,254",250,444
6,2018년 04월 26일,thu,바람 바람 바람,"10,313,500",0.2%,"-2,399,900
(-18.9%)","9,737,219,175","1,354","-669
(-33.1%)","1,188,334",79,125
7,2018년 04월 26일,thu,레슬러,"10,080,000",0.2%,"10,080,000
(100.0%)","20,484,000","1,260","1,260
(100.0%)","2,626",6,6
8,2018년 04월 26일,thu,박하사탕,"8,052,000",0.1%,"8,052,000
(100.0%)","20,278,500",884,"884
(100.0%)","2,218",33,78
9,2018년 04월 26일,thu,레오나르도 다 빈치,"6,933,300",0.1%,"6,933,300
(100.0%)","13,193,300",869,"869
(100.0%)","1,613",64,66
0,2018년 04월 27일,fri,어벤져스: 인피니티 워,"7,026,026,870",95.2%,"1,830,187,970
(35.2%)","19,160,496,870","739,908","144,240
(24.2%)","2,316,242","2,460","12,190"
1,2018년 04월 27일,fri,그날 바다,"78,228,500",1.1%,"17,182,400
(28.1%)","3,692,659,400","9,165","1,333
(17.0%)","447,267",376,671
2,2018년 04월 27일,fri,살인소설,"51,158,400",0.7%,"10,297,000
(25.2%)","162,155,800","5,939","679
(12.9%)","21,570",429,831
3,2018년 04월 27일,fri,램페이지,"45,968,030",0.6%,"10,584,330
(29.9%)","11,701,437,257","5,361","959
(21.8%)","1,354,939",343,559
4,2018년 04월 27일,fri,콰이어트 플레이스,"31,458,154",0.4%,"9,478,554
(43.1%)","4,304,634,081","3,467","828
(31.4%)","494,462",139,201
5,2018년 04월 27일,fri,당갈,"25,816,700",0.3%,"8,790,600
(51.6%)","259,409,300","3,006","771
(34.5%)","31,260",252,418
6,2018년 04월 27일,fri,레오나르도 다 빈치,"14,924,400",0.2%,"7,991,100
(115.3%)","28,117,700","1,845","976
(112.3%)","3,458",84,90
7,2018년 04월 27일,fri,바람 바람 바람,"9,743,600",0.1%,"-569,900
(-5.5%)","9,746,962,775","1,158","-196
(-14.5%)","1,189,492",78,125
8,2018년 04월 27일,fri,덕구,"6,268,800",0.1%,"935,600
(17.5%)","2,309,871,800",949,"117
(14.1%)","303,345",42,60
9,2018년 04월 27일,fri,당신의 부탁,"6,913,728",0.1%,"4,988,228
(259.1%)","181,681,228",786,"528
(204.7%)","22,606",47,56
0,2018년 04월 28일,sat,어벤져스: 인피니티 워,"12,300,421,261",95.4%,"5,274,394,391
(75.1%)","31,460,918,131","1,333,307","593,399
(80.2%)","3,649,549","2,553","13,185"
1,2018년 04월 28일,sat,그날 바다,"130,199,700",1.0%,"51,971,200
(66.4%)","3,822,859,100","14,820","5,655
(61.7%)","462,087",364,585
2,2018년 04월 28일,sat,램페이지,"77,575,539",0.6%,"31,607,509
(68.8%)","11,779,012,796","9,122","3,761
(70.2%)","1,364,061",301,466
3,2018년 04월 28일,sat,살인소설,"72,385,700",0.6%,"21,227,300
(41.5%)","234,541,500","8,481","2,542
(42.8%)","30,051",405,713
4,2018년 04월 28일,sat,레오나르도 다 빈치,"55,219,000",0.4%,"40,294,600
(270.0%)","83,336,700","6,793","4,948
(268.2%)","10,251",150,232
5,2018년 04월 28일,sat,콰이어트 플레이스,"42,497,868",0.3%,"11,039,714
(35.1%)","4,347,131,949","4,766","1,299
(37.5%)","499,228",133,180
6,2018년 04월 28일,sat,당갈,"39,274,800",0.3%,"13,458,100
(52.1%)","298,684,100","4,551","1,545
(51.4%)","35,811",232,338
7,2018년 04월 28일,sat,아기곰 보보 구출 대작전,"28,273,800",0.2%,"24,319,600
(615.0%)","42,862,500","3,678","3,115
(553.3%)","5,730",207,266
8,2018년 04월 28일,sat,박하사탕,"14,134,000",0.1%,"8,719,500
(161.0%)","39,827,000","1,483","885
(148.0%)","4,299",35,77
9,2018년 04월 28일,sat,바람 바람 바람,"10,375,400",0.1%,"631,800
(6.5%)","9,757,338,175","1,288","130
(11.2%)","1,190,780",57,88
0,2018년 04월 29일,sun,어벤져스: 인피니티 워,"10,307,417,400",94.7%,"-1,993,003,861
(-16.2%)","41,768,335,531","1,114,946","-218,361
(-16.4%)","4,764,495","2,548","12,947"
1,2018년 04월 29일,sun,그날 바다,"121,625,300",1.1%,"-8,574,400
(-6.6%)","3,944,484,400","14,208","-612
(-4.1%)","476,295",367,575
2,2018년 04월 29일,sun,램페이지,"73,164,900",0.7%,"-4,410,639
(-5.7%)","11,852,177,696","8,596","-526
(-5.8%)","1,372,657",287,423
3,2018년 04월 29일,sun,살인소설,"72,571,300",0.7%,"185,600
(0.3%)","307,112,800","8,317","-164
(-1.9%)","38,368",406,693
4,2018년 04월 29일,sun,레오나르도 다 빈치,"64,176,700",0.6%,"8,957,700
(16.2%)","147,513,400","7,889","1,096
(16.1%)","18,140",150,240
5,2018년 04월 29일,sun,당갈,"42,295,800",0.4%,"3,021,000
(7.7%)","340,979,900","5,035","484
(10.6%)","40,846",229,335
6,2018년 04월 29일,sun,콰이어트 플레이스,"32,289,300",0.3%,"-10,208,568
(-24.0%)","4,379,421,249","3,647","-1,119
(-23.5%)","502,875",118,166
7,2018년 04월 29일,sun,아기곰 보보 구출 대작전,"27,850,000",0.3%,"-423,800
(-1.5%)","70,712,500","3,610","-68
(-1.8%)","9,340",191,244
8,2018년 04월 29일,sun,덕구,"8,862,800",0.1%,"1,847,600
(26.3%)","2,325,749,800","1,213","300
(32.9%)","305,471",43,59
9,2018년 04월 29일,sun,정글번치: 최강 악당의 등장,"7,832,200",0.1%,"822,100
(11.7%)","280,565,300","1,054","106
(11.2%)","35,403",43,56
0,2018년 04월 30일,mon,어벤져스: 인피니티 워,"4,360,209,000",92.3%,"-5,947,208,400
(-57.7%)","46,128,544,531","495,787","-619,159
(-55.5%)","5,260,282","2,462","12,257"
1,2018년 04월 30일,mon,그날 바다,"77,089,500",1.6%,"-44,535,800
(-36.6%)","4,021,573,900","9,993","-4,215
(-29.7%)","486,288",415,703
2,2018년 04월 30일,mon,램페이지,"42,920,000",0.9%,"-30,244,900
(-41.3%)","11,895,097,696","5,614","-2,982
(-34.7%)","1,378,271",300,489
3,2018년 04월 30일,mon,살인소설,"40,174,700",0.9%,"-32,396,600
(-44.6%)","347,287,500","5,252","-3,065
(-36.9%)","43,620",410,745
4,2018년 04월 30일,mon,당갈,"31,219,100",0.7%,"-11,076,700
(-26.2%)","372,199,000","4,078","-957
(-19.0%)","44,924",242,384
5,2018년 04월 30일,mon,콰이어트 플레이스,"24,098,700",0.5%,"-8,190,600
(-25.4%)","4,403,519,949","2,928","-719
(-19.7%)","505,803",127,198
6,2018년 04월 30일,mon,챔피언,"24,546,000",0.5%,"24,546,000
(100.0%)","30,074,000","2,760","2,760
(100.0%)","3,455",11,11
7,2018년 04월 30일,mon,레슬러,"20,403,000",0.4%,"20,403,000
(100.0%)","40,887,000","2,552","2,552
(100.0%)","5,178",14,14
8,2018년 04월 30일,mon,바람 바람 바람,"8,525,200",0.2%,"91,000
(1.1%)","9,774,297,575","1,131","135
(13.6%)","1,192,907",64,116
9,2018년 04월 30일,mon,레오나르도 다 빈치,"8,245,700",0.2%,"-55,931,000
(-87.2%)","155,759,100","1,127","-6,762
(-85.7%)","19,267",90,109
0,2018년 05월 01일,tue,어벤져스: 인피니티 워,"6,013,244,200",80.7%,"1,653,035,200
(37.9%)","52,141,788,731","717,324","221,537
(44.7%)","5,977,606","2,141","10,730"
1,2018년 05월 01일,tue,챔피언,"1,101,385,100",14.8%,"1,076,839,100
(4,387.0%)","1,131,459,100","139,965","137,205
(4,971.2%)","143,420",795,"3,892"
2,2018년 05월 01일,tue,그날 바다,"73,469,700",1.0%,"-3,619,800
(-4.7%)","4,095,043,600","9,958","-35
(-0.4%)","496,246",258,396
3,2018년 05월 01일,tue,레오나르도 다 빈치,"45,921,600",0.6%,"37,675,900
(456.9%)","201,680,700","6,353","5,226
(463.7%)","25,620",135,198
4,2018년 05월 01일,tue,아기곰 보보 구출 대작전,"29,083,000",0.4%,"23,170,500
(391.9%)","105,708,000","4,256","3,316
(352.8%)","14,536",143,169
5,2018년 05월 01일,tue,당갈,"28,724,800",0.4%,"-2,494,300
(-8.0%)","400,923,800","3,922","-156
(-3.8%)","48,846",185,225
6,2018년 05월 01일,tue,램페이지,"19,432,600",0.3%,"-23,487,400
(-54.7%)","11,914,530,296","2,607","-3,007
(-53.6%)","1,380,878",110,146
7,2018년 05월 01일,tue,살인소설,"16,744,900",0.2%,"-23,429,800
(-58.3%)","364,032,400","2,308","-2,944
(-56.1%)","45,928",271,346
8,2018년 05월 01일,tue,콰이어트 플레이스,"10,874,600",0.1%,"-13,224,100
(-54.9%)","4,414,394,549","1,392","-1,536
(-52.5%)","507,195",64,85
9,2018년 05월 01일,tue,콜 미 바이 유어 네임,"7,632,000",0.1%,"3,310,800
(76.6%)","1,532,990,300",926,"379
(69.3%)","184,226",15,20
0,2018년 05월 02일,wed,어벤져스: 인피니티 워,"2,454,649,900",77.8%,"-3,558,594,300
(-59.2%)","54,596,438,631","276,967","-440,357
(-61.4%)","6,254,573","2,114","10,389"
1,2018년 05월 02일,wed,챔피언,"499,955,400",15.9%,"-601,429,700
(-54.6%)","1,631,414,500","62,830","-77,135
(-55.1%)","206,250",816,"3,923"
2,2018년 05월 02일,wed,그날 바다,"31,665,900",1.0%,"-41,803,800
(-56.9%)","4,126,709,500","4,178","-5,780
(-58.0%)","500,424",266,426
3,2018년 05월 02일,wed,레슬러,"34,123,000",1.1%,"34,123,000
(100.0%)","75,010,000","4,084","4,084
(100.0%)","9,262",21,21
4,2018년 05월 02일,wed,얼리맨,"14,708,000",0.5%,"14,708,000
(100.0%)","44,109,000","2,101","2,101
(100.0%)","5,848",10,10
5,2018년 05월 02일,wed,당갈,"14,664,100",0.5%,"-14,060,700
(-48.9%)","415,587,900","1,924","-1,998
(-50.9%)","50,770",135,180
6,2018년 05월 02일,wed,레오나르도 다 빈치,"10,359,500",0.3%,"-35,562,100
(-77.4%)","212,040,200","1,630","-4,723
(-74.3%)","27,250",83,98
7,2018년 05월 02일,wed,살인소설,"8,503,800",0.3%,"-8,241,100
(-49.2%)","372,536,200","1,117","-1,191
(-51.6%)","47,045",181,242
8,2018년 05월 02일,wed,램페이지,"7,312,100",0.2%,"-12,120,500
(-62.4%)","11,921,842,396",959,"-1,648
(-63.2%)","1,381,837",93,128
9,2018년 05월 02일,wed,콰이어트 플레이스,"6,742,000",0.2%,"-4,132,600
(-38.0%)","4,421,136,549",821,"-571
(-41.0%)","508,016",57,75
0,2018년 05월 03일,thu,어벤져스: 인피니티 워,"2,340,404,400",78.0%,"-114,245,500
(-4.7%)","56,936,843,031","265,430","-11,537
(-4.2%)","6,520,003","2,138","10,192"
1,2018년 05월 03일,thu,챔피언,"431,615,800",14.4%,"-68,339,600
(-13.7%)","2,063,030,300","54,305","-8,525
(-13.6%)","260,555",815,"3,698"
2,2018년 05월 03일,thu,원더스트럭,"23,829,100",0.8%,"20,413,000
(597.6%)","38,987,700","3,119","2,806
(896.5%)","4,876",105,254
3,2018년 05월 03일,thu,그날 바다,"22,947,200",0.8%,"-8,718,700
(-27.5%)","4,149,656,700","2,997","-1,181
(-28.3%)","503,421",202,320
4,2018년 05월 03일,thu,얼리맨,"17,353,100",0.6%,"2,645,100
(18.0%)","61,462,100","2,697","596
(28.4%)","8,545",253,299
5,2018년 05월 03일,thu,매직빈,"16,359,300",0.5%,"13,520,300
(476.2%)","27,588,300","2,185","1,862
(576.5%)","3,708",168,189
6,2018년 05월 03일,thu,레슬러,"15,735,500",0.5%,"-18,387,500
(-53.9%)","90,745,500","1,898","-2,186
(-53.5%)","11,160",15,15
7,2018년 05월 03일,thu,레오나르도 다 빈치,"12,385,000",0.4%,"2,025,500
(19.6%)","224,425,200","1,823","193
(11.8%)","29,073",60,63
8,2018년 05월 03일,thu,커다랗고 커다랗고 커다란 배,"12,093,900",0.4%,"9,693,900
(403.9%)","23,707,900","1,683","1,383
(461.0%)","3,156",153,167
9,2018년 05월 03일,thu,당갈,"10,959,900",0.4%,"-3,704,200
(-25.3%)","426,547,800","1,438","-486
(-25.3%)","52,208",59,76
0,2018년 05월 04일,fri,어벤져스: 인피니티 워,"3,916,977,653",80.8%,"1,576,573,253
(67.4%)","60,853,820,684","419,443","154,013
(58.0%)","6,939,446","2,156","10,648"
1,2018년 05월 04일,fri,챔피언,"648,677,347",13.4%,"217,061,547
(50.3%)","2,711,707,647","75,687","21,382
(39.4%)","336,242",813,"3,702"
2,2018년 05월 04일,fri,얼리맨,"36,549,900",0.8%,"19,196,800
(110.6%)","98,012,000","5,509","2,812
(104.3%)","14,054",324,400
3,2018년 05월 04일,fri,그날 바다,"33,130,600",0.7%,"10,183,400
(44.4%)","4,182,787,300","4,277","1,280
(42.7%)","507,698",209,315
4,2018년 05월 04일,fri,매직빈,"26,153,100",0.5%,"9,793,800
(59.9%)","53,741,400","4,055","1,870
(85.6%)","7,763",250,305
5,2018년 05월 04일,fri,커다랗고 커다랗고 커다란 배,"18,656,100",0.4%,"6,562,200
(54.3%)","42,364,000","2,694","1,011
(60.1%)","5,850",190,208
6,2018년 05월 04일,fri,원더스트럭,"21,222,600",0.4%,"-2,606,500
(-10.9%)","60,210,300","2,503","-616
(-19.7%)","7,379",111,266
7,2018년 05월 04일,fri,레슬러,"20,754,000",0.4%,"5,018,500
(31.9%)","111,499,500","2,124","226
(11.9%)","13,284",7,7
8,2018년 05월 04일,fri,샷 콜러,"9,925,400",0.2%,"8,359,200
(533.7%)","12,625,600","1,689","1,489
(744.5%)","2,015",59,70
9,2018년 05월 04일,fri,레오나르도 다 빈치,"11,314,200",0.2%,"-1,070,800
(-8.6%)","235,739,400","1,604","-219
(-12.0%)","30,677",81,85
0,2018년 05월 05일,sat,어벤져스: 인피니티 워,"7,551,540,860",75.8%,"3,634,563,207
(92.8%)","68,405,361,544","820,839","401,396
(95.7%)","7,760,285","2,224","10,842"
1,2018년 05월 05일,sat,챔피언,"1,479,287,840",14.8%,"830,610,493
(128.0%)","4,190,995,487","170,126","94,439
(124.8%)","506,368",806,"3,276"
2,2018년 05월 05일,sat,얼리맨,"268,605,600",2.7%,"232,055,700
(634.9%)","366,617,600","33,773","28,264
(513.1%)","47,827",597,"1,057"
3,2018년 05월 05일,sat,매직빈,"167,434,800",1.7%,"141,281,700
(540.2%)","221,176,200","20,943","16,888
(416.5%)","28,706",534,940
4,2018년 05월 05일,sat,커다랗고 커다랗고 커다란 배,"155,245,600",1.6%,"136,589,500
(732.1%)","197,609,600","19,297","16,603
(616.3%)","25,147",350,517
5,2018년 05월 05일,sat,레오나르도 다 빈치,"108,380,600",1.1%,"97,066,400
(857.9%)","344,120,000","13,274","11,670
(727.6%)","43,951",207,371
6,2018년 05월 05일,sat,그날 바다,"48,655,200",0.5%,"15,524,600
(46.9%)","4,231,442,500","5,746","1,469
(34.3%)","513,444",159,222
7,2018년 05월 05일,sat,원더스트럭,"31,471,400",0.3%,"10,248,800
(48.3%)","91,681,700","3,419","916
(36.6%)","10,798",108,226
8,2018년 05월 05일,sat,당갈,"24,492,200",0.2%,"11,664,500
(90.9%)","463,867,700","2,718","1,233
(83.0%)","56,411",43,69
9,2018년 05월 05일,sat,부르고뉴 와인에서 찾은 인생,"23,777,500",0.2%,"11,132,000
(88.0%)","60,351,600","2,634","1,185
(81.8%)","6,813",42,60
0,2018년 05월 06일,sun,어벤져스: 인피니티 워,"6,910,907,600",72.7%,"-640,633,260
(-8.5%)","75,316,269,144","737,625","-83,214
(-10.1%)","8,497,910","2,186","10,778"
1,2018년 05월 06일,sun,챔피언,"1,713,453,600",18.0%,"234,165,760
(15.8%)","5,904,449,087","194,847","24,721
(14.5%)","701,215",839,"3,452"
2,2018년 05월 06일,sun,얼리맨,"170,787,900",1.8%,"-97,817,700
(-36.4%)","537,405,500","21,418","-12,355
(-36.6%)","69,245",516,793
3,2018년 05월 06일,sun,레슬러,"176,596,500",1.9%,"176,596,500
(100.0%)","288,096,000","19,414","19,414
(100.0%)","32,698",151,250
4,2018년 05월 06일,sun,커다랗고 커다랗고 커다란 배,"137,991,200",1.5%,"-17,254,400
(-11.1%)","335,600,800","17,035","-2,262
(-11.7%)","42,182",327,474
5,2018년 05월 06일,sun,매직빈,"79,674,800",0.8%,"-87,760,000
(-52.4%)","300,851,000","10,090","-10,853
(-51.8%)","38,796",423,627
6,2018년 05월 06일,sun,레오나르도 다 빈치,"60,345,200",0.6%,"-48,035,400
(-44.3%)","404,465,200","7,267","-6,007
(-45.3%)","51,218",183,298
7,2018년 05월 06일,sun,그날 바다,"51,873,200",0.5%,"3,218,000
(6.6%)","4,283,315,700","6,076","330
(5.7%)","519,520",180,253
8,2018년 05월 06일,sun,당갈,"33,725,900",0.4%,"9,233,700
(37.7%)","497,593,600","3,781","1,063
(39.1%)","60,192",68,102
9,2018년 05월 06일,sun,원더스트럭,"29,027,500",0.3%,"-2,443,900
(-7.8%)","120,709,200","3,189","-230
(-6.7%)","13,987",105,216
0,2018년 05월 07일,mon,어벤져스: 인피니티 워,"4,752,880,200",68.9%,"-2,158,027,400
(-31.2%)","80,069,149,344","516,678","-220,947
(-30.0%)","9,014,588","2,122","10,160"
1,2018년 05월 07일,mon,챔피언,"1,268,328,400",18.4%,"-445,125,200
(-26.0%)","7,172,777,487","147,452","-47,395
(-24.3%)","848,667",874,"3,580"
2,2018년 05월 07일,mon,얼리맨,"178,810,400",2.6%,"8,022,500
(4.7%)","716,215,900","23,259","1,841
(8.6%)","92,504",511,752
3,2018년 05월 07일,mon,커다랗고 커다랗고 커다란 배,"183,076,600",2.7%,"45,085,400
(32.7%)","518,677,400","23,005","5,970
(35.0%)","65,187",335,487
4,2018년 05월 07일,mon,레슬러,"169,068,800",2.4%,"-7,527,700
(-4.3%)","457,164,800","18,959","-455
(-2.3%)","51,657",156,258
5,2018년 05월 07일,mon,매직빈,"71,341,200",1.0%,"-8,333,600
(-10.5%)","372,192,200","9,142","-948
(-9.4%)","47,938",401,548
6,2018년 05월 07일,mon,레오나르도 다 빈치,"57,283,300",0.8%,"-3,061,900
(-5.1%)","461,748,500","7,194","-73
(-1.0%)","58,412",167,247
7,2018년 05월 07일,mon,그날 바다,"42,534,700",0.6%,"-9,338,500
(-18.0%)","4,325,850,400","5,129","-947
(-15.6%)","524,649",190,276
8,2018년 05월 07일,mon,당갈,"34,791,700",0.5%,"1,065,800
(3.2%)","532,385,300","3,989","208
(5.5%)","64,181",77,122
9,2018년 05월 07일,mon,부르고뉴 와인에서 찾은 인생,"26,679,100",0.4%,"-1,412,700
(-5.0%)","115,122,500","3,032","-97
(-3.1%)","12,974",41,65
0,2018년 05월 08일,tue,어벤져스: 인피니티 워,"1,130,374,300",68.6%,"-3,622,505,900
(-76.2%)","81,199,523,644","125,615","-391,063
(-75.7%)","9,140,203","2,056","9,350"
1,2018년 05월 08일,tue,챔피언,"333,931,200",20.3%,"-934,397,200
(-73.7%)","7,506,708,687","42,277","-105,175
(-71.3%)","890,944",822,"3,644"
2,2018년 05월 08일,tue,얼리맨,"16,792,500",1.0%,"-162,017,900
(-90.6%)","733,008,400","2,486","-20,773
(-89.3%)","94,990",267,315
3,2018년 05월 08일,tue,당갈,"15,481,500",0.9%,"-19,310,200
(-55.5%)","547,866,800","1,978","-2,011
(-50.4%)","66,159",106,190
4,2018년 05월 08일,tue,레슬러,"14,297,000",0.9%,"-154,771,800
(-91.5%)","471,461,800","1,951","-17,008
(-89.7%)","53,608",17,17
5,2018년 05월 08일,tue,그날 바다,"14,504,800",0.9%,"-28,029,900
(-65.9%)","4,340,355,200","1,920","-3,209
(-62.6%)","526,569",228,363
6,2018년 05월 08일,tue,레이디 버드,"12,147,000",0.7%,"7,968,400
(190.7%)","779,508,200","1,654","1,208
(270.9%)","96,346",46,48
7,2018년 05월 08일,tue,커다랗고 커다랗고 커다란 배,"10,508,400",0.6%,"-172,568,200
(-94.3%)","529,185,800","1,513","-21,492
(-93.4%)","66,700",173,191
8,2018년 05월 08일,tue,피터 래빗,"10,325,000",0.6%,"8,625,000
(507.4%)","12,025,000","1,475","1,305
(767.6%)","1,645",6,6
9,2018년 05월 08일,tue,부르고뉴 와인에서 찾은 인생,"9,273,500",0.6%,"-17,405,600
(-65.2%)","124,396,000","1,200","-1,832
(-60.4%)","14,174",55,82
0,2018년 05월 09일,wed,어벤져스: 인피니티 워,"982,911,400",55.5%,"-147,462,900
(-13.0%)","82,182,435,044","109,370","-16,245
(-12.9%)","9,249,573","1,615","7,365"
1,2018년 05월 09일,wed,레슬러,"503,920,900",28.5%,"489,623,900
(3,424.7%)","975,382,700","63,660","61,709
(3,162.9%)","117,268",879,"4,619"
2,2018년 05월 09일,wed,챔피언,"175,946,400",9.9%,"-157,984,800
(-47.3%)","7,682,655,087","22,102","-20,175
(-47.7%)","913,046",626,"2,408"
3,2018년 05월 09일,wed,당갈,"16,005,000",0.9%,"523,500
(3.4%)","563,871,800","1,992","14
(0.7%)","68,151",98,174
4,2018년 05월 09일,wed,그날 바다,"11,620,600",0.7%,"-2,884,200
(-19.9%)","4,351,975,800","1,616","-304
(-15.8%)","528,185",173,262
5,2018년 05월 09일,wed,부르고뉴 와인에서 찾은 인생,"9,462,600",0.5%,"189,100
(2.0%)","133,858,600","1,196","-4
(-0.3%)","15,370",41,72
6,2018년 05월 09일,wed,원더스트럭,"8,287,200",0.5%,"-224,900
(-2.6%)","163,243,300","1,035","-112
(-9.8%)","19,113",73,161
7,2018년 05월 09일,wed,얼리맨,"6,126,100",0.3%,"-10,666,400
(-63.5%)","739,134,500",899,"-1,587
(-63.8%)","95,889",137,151
8,2018년 05월 09일,wed,커다랗고 커다랗고 커다란 배,"4,009,300",0.2%,"-6,499,100
(-61.8%)","533,195,100",583,"-930
(-61.5%)","67,283",90,101
9,2018년 05월 09일,wed,콰이어트 플레이스,"4,444,000",0.3%,"-2,488,300
(-35.9%)","4,523,348,149",529,"-316
(-37.4%)","519,568",35,61
0,2018년 05월 10일,thu,어벤져스: 인피니티 워,"914,913,200",56.0%,"-67,998,200
(-6.9%)","83,097,348,244","101,160","-8,210
(-7.5%)","9,350,733","1,554","6,994"
1,2018년 05월 10일,thu,레슬러,"426,906,800",26.1%,"-77,014,100
(-15.3%)","1,402,289,500","53,923","-9,737
(-15.3%)","171,191",881,"4,446"
2,2018년 05월 10일,thu,챔피언,"136,060,900",8.3%,"-39,885,500
(-22.7%)","7,818,715,987","17,225","-4,877
(-22.1%)","930,271",601,"2,182"
3,2018년 05월 10일,thu,중2병이라도 사랑이 하고 싶어! 테이크 온 미,"23,896,600",1.5%,"23,860,600
(66,279.4%)","35,622,700","2,930","2,924
(48,733.3%)","3,517",108,267
4,2018년 05월 10일,thu,루비 스팍스,"22,336,500",1.4%,"22,336,500
(100.0%)","28,312,500","2,726","2,726
(100.0%)","3,390",140,483
5,2018년 05월 10일,thu,당갈,"14,013,900",0.9%,"-1,991,100
(-12.4%)","577,885,700","1,719","-273
(-13.7%)","69,870",97,162
6,2018년 05월 10일,thu,부르고뉴 와인에서 찾은 인생,"11,225,200",0.7%,"1,762,600
(18.6%)","145,083,800","1,410","214
(17.9%)","16,780",44,79
7,2018년 05월 10일,thu,그날 바다,"8,589,900",0.5%,"-3,030,700
(-26.1%)","4,360,565,700","1,102","-514
(-31.8%)","529,287",124,183
8,2018년 05월 10일,thu,씨 오브 트리스,"8,786,000",0.5%,"8,082,000
(1,148.0%)","10,930,000","1,059","1,015
(2,306.8%)","1,283",98,173
9,2018년 05월 10일,thu,임을 위한 행진곡,"8,181,000",0.5%,"4,725,000
(136.7%)","50,284,500",909,"525
(136.7%)","5,892",5,6
0,2018년 05월 11일,fri,어벤져스: 인피니티 워,"1,382,669,274",58.2%,"467,756,074
(51.1%)","84,480,017,518","144,261","43,101
(42.6%)","9,494,994","1,551","7,227"
1,2018년 05월 11일,fri,레슬러,"593,749,474",25.0%,"166,842,674
(39.1%)","1,996,038,974","69,096","15,173
(28.1%)","240,287",902,"4,616"
2,2018년 05월 11일,fri,챔피언,"202,266,826",8.5%,"66,205,926
(48.7%)","8,020,982,813","23,799","6,574
(38.2%)","954,070",632,"2,303"
3,2018년 05월 11일,fri,루비 스팍스,"31,416,000",1.3%,"9,079,500
(40.6%)","59,728,500","3,448","722
(26.5%)","6,838",148,503
4,2018년 05월 11일,fri,당갈,"21,798,400",0.9%,"7,784,500
(55.5%)","599,684,100","2,444","725
(42.2%)","72,314",99,174
5,2018년 05월 11일,fri,중2병이라도 사랑이 하고 싶어! 테이크 온 미,"18,428,400",0.8%,"-5,468,200
(-22.9%)","54,051,100","2,019","-911
(-31.1%)","5,536",102,242
6,2018년 05월 11일,fri,부르고뉴 와인에서 찾은 인생,"14,219,100",0.6%,"2,993,900
(26.7%)","159,302,900","1,583","173
(12.3%)","18,363",46,85
7,2018년 05월 11일,fri,그날 바다,"9,625,100",0.4%,"1,035,200
(12.1%)","4,370,190,800","1,236","134
(12.2%)","530,523",119,181
8,2018년 05월 11일,fri,데드풀 2,"16,384,000",0.7%,"16,384,000
(100.0%)","18,607,000","1,024","1,024
(100.0%)","1,271",1,2
9,2018년 05월 11일,fri,보리 vs 매켄로,"8,340,800",0.4%,"2,515,700
(43.2%)","25,801,400",918,"193
(26.6%)","3,062",115,198
0,2018년 05월 12일,sat,어벤져스: 인피니티 워,"3,302,689,583",56.7%,"1,920,020,309
(138.9%)","87,782,707,101","348,486","204,225
(141.6%)","9,843,480","1,602","7,628"
1,2018년 05월 12일,sat,레슬러,"1,451,088,483",24.9%,"857,339,009
(144.4%)","3,447,127,457","163,425","94,329
(136.5%)","403,712",957,"4,893"
2,2018년 05월 12일,sat,챔피언,"522,802,817",9.0%,"320,535,991
(158.5%)","8,543,785,630","59,670","35,871
(150.7%)","1,013,740",638,"2,334"
