,filmoNames,peopleCd,peopleNm,repRoleNm,guest,movie_num,guest_rate,Tot_averageN,Tot_medianN,Tot_average0.3,Tot_median
685,평원을 지나서|로덴시아: 마법왕국의 전설|소년 B,20178360,데이비드 비스바노,감독,98575,1,98575,-0.377247288,-0.011481677,0.522752712,2.988518323
686,빌리와 용감한 녀석들 3,10038663,척 파워스,감독,98495,1,98495,-0.37727534,-0.01150973,0.52272466,2.98849027
687,"소나기|소중한 날의 꿈 감독판|소중한 날의 꿈|봄봄|운수 좋은날|메밀꽃 필 무렵|겨울연가|미안하다 사랑한다|미안하다, 사랑한다|관운|순수한 기쁨|히치콕의 어떤 하루|메밀꽃, 운수 좋은 날, 그리고 봄봄",20111258,안재훈,감독,98186,3,32728.66667,-0.377383693,-0.011618082,0.522616307,2.988381918
688,이웃집에 신이 산다|미스터 노바디|제8요일 |토토의 천국,10059349,자코 반 도마엘,감독,97883,1,97883,-0.377489941,-0.011724331,0.522510059,2.988275669
689,쓰리 빌보드|세븐 싸이코패스|킬러들의 도시,10024695,마틴 맥도나,감독,97079,1,97079,-0.377771868,-0.012006258,0.522228132,2.987993742
690,슈퍼 빼꼼: 스파이 대작전|빼꼼의 머그잔 여행|컨택트 2|Angel,10058661,임아론,감독,97005,1,97005,-0.377797816,-0.012032206,0.522202184,2.987967794
691,프로젝트 패기|577 프로젝트|당신이 잠든 사이에,20113255,이근우,감독,96079,1,96079,-0.378122523,-0.012356913,0.521877477,2.987643087
692,점박이:한반도의 공룡3D|사물의 비밀|기생령|가면|홀리데이|바람의 파이터|내츄럴시티,20113871,고석진,감독,96077,1,96077,-0.378123224,-0.012357614,0.521876776,2.987642386
693,"오목소녀|걷기왕|오늘영화|반드시 크게 들을 것 2 : Wild Days|춤추는 동물원|반드시 크게 들을 것|백역사|화목한 수레|지각생들|잘 자, 좋은 꿈꿔!|10월 수요단편극장 <걷기왕> 개봉 기념 특별전|한국 환경영화의 흐름 단편 3",10030331,백승화,감독,95542,1,95542,-0.378310825,-0.012545214,0.521689175,2.987454786
694,나와 봄날의 약속|내 심장을 쏴라|디어 에밀리|장례식의 멤버|프랑스 중위의 여자|무서운 이야기 3 : 화성에서 온 소녀|무서운 이야기 3 '여우골',20080184,백승빈,감독,95415,1,95415,-0.378355358,-0.012589748,0.521644642,2.987410252
695,일사각오,20269333,고문안,감독,94767,1,94767,-0.378582583,-0.012816972,0.521417417,2.987183028
696,나의 산티아고,20238426,줄리아 폰 하인츠,감독,94243,1,94243,-0.378766326,-0.013000716,0.521233674,2.986999284
697,마야2,20300149,노엘 클리어리,감독,94182,1,94182,-0.378787716,-0.013022106,0.521212284,2.986977894
698,커다랗고 커다랗고 커다란 배|로날 더 바바리언,20169834,필립 립스키,감독,93592,1,93592,-0.378994602,-0.013228992,0.521005398,2.986771008
699,본 투 비 블루,20235906,로버트 뷔드로,감독,92729,1,92729,-0.379297218,-0.013531607,0.520702782,2.986468393
700,7번째 아들|몽골|노매드 |곰의 키스|자유로의 질주|코카서스의 죄수 ,10035961,세르게이 보드로프,감독,92598,1,92598,-0.379343154,-0.013577543,0.520656846,2.986422457
701,지렁이|철가방 우수氏|당신이 잠든 사이에|잘못된 만남|까불지마|오! 해피데이|블루|2424,10054571,윤학렬,감독,92404,1,92404,-0.379411181,-0.01364557,0.520588819,2.98635443
702,위스키 탱고 폭스트롯|포커스|필립모리스,10067711,존 레쿼,감독,91164,1,91164,-0.379845993,-0.014080383,0.520154007,2.985919617
703,위스키 탱고 폭스트롯|포커스|크레이지 스투피드 러브|필립모리스,10003119,글렌 피카라,감독,91164,1,91164,-0.379845993,-0.014080383,0.520154007,2.985919617
704,노 게임 노 라이프 -제로-,10056391,이시즈카 아츠코,감독,90718,1,90718,-0.380002385,-0.014236775,0.519997615,2.985763225
705,"연애담|연평해전|성실한 나라의 앨리스|소셜포비아|잉투기|완벽한 파트너-감독판|완벽한 파트너|비밀애|브라보 마이 라이프|투 가이즈|싱글즈|화산고|주노명 베이커리|진짜 사나이|구미호|그 여자, 그 남자|결혼이야기|예쁜 찬장 하나 ",10029478,박헌수,감독,89526,1,89526,-0.380420366,-0.014654756,0.519579634,2.985345244
706,더 매직: 리틀톰과 도둑공주,10047178,어네스토 파드롱,감독,89358,1,89358,-0.380479276,-0.014713666,0.519520724,2.985286334
707,마음이 외치고 싶어해|그날 본 꽃의 이름을 우리는 아직 모른다|그 여름에서 기다릴게,20187994,나가이 타츠유키,감독,89162,2,44581,-0.380548005,-0.014782394,0.519451995,2.985217606
708,오베라는 남자|비하인드 블루 스카이즈|동창회,10086701,하네스 홀름,감독,89103,1,89103,-0.380568693,-0.014803083,0.519431307,2.985196917
709,페이스 블라인드|블러디 말로리,10069553,줄리앙 마그넷,감독,88977,1,88977,-0.380612876,-0.014847266,0.519387124,2.985152734
710,히든 아이덴티티|더 콜|베니싱|트랜스 시베리아|머시니스트|세션 나인|해피 엑시던트|넥스트 스톱 원더랜드,10032061,브래드 앤더슨,감독,88953,1,88953,-0.380621292,-0.014855681,0.519378708,2.985144319
711,콜드 라잇 오브 데이|장 클로드 반담,10022287,마브룩 엘 메크리,감독,88522,1,88522,-0.380772424,-0.015006814,0.519227576,2.984993186
712,살인자,20185379,이기욱,감독,88199,1,88199,-0.380885686,-0.015120075,0.519114314,2.984879925
713,스텝업4 : 레볼루션|락 오브 에이지|베드타임 스토리|헤어스프레이|열두명의 웬수들2|패시파이어|브링 다운 더 하우스|워크 투 리멤버|웨딩플래너,10041333,아담 쉥크만,감독,87915,1,87915,-0.380985272,-0.015219661,0.519014728,2.984780339
714,레오나르도 다 빈치|윈드랜드,10036017,세르지오 맨피오,감독,87489,2,43744.5,-0.381134651,-0.015369041,0.518865349,2.984630959
715,갤로우즈,10077042,크리스 로핑,감독,87301,1,87301,-0.381200574,-0.015434964,0.518799426,2.984565036
716,갤로우즈,10082025,트래비스 클러프,감독,87301,1,87301,-0.381200574,-0.015434964,0.518799426,2.984565036
717,스노우맨|팅커 테일러 솔저 스파이|렛 미 인,10080501,토마스 알프레드슨,감독,87155,1,87155,-0.38125177,-0.015486159,0.51874823,2.984513841
718,여중생A|미성년|어둠에서 빛이 흘러나오는 소리|축지법과 비행술|여보세요|8월 수요단편극장 “신스틸러의 단편”|2016 대단한단편영화제-단편 경쟁 섹션 2|SESIFF2016 경쟁2 먹고사는 백만가지 방법|2015 우수 단편영화 상영 01,20113175,이경섭,감독,86843,1,86843,-0.381361174,-0.015595564,0.518638826,2.984404436
719,플로리다 프로젝트|탠저린|스타렛,20188058,션 베이커,감독,86406,1,86406,-0.38151441,-0.0157488,0.51848559,2.9842512
720,슈퍼 프렌즈,20239406,이원재,감독,86293,1,86293,-0.381554034,-0.015788424,0.518445966,2.984211576
721,"소나기|소중한 날의 꿈 감독판|소중한 날의 꿈|봄봄|운수 좋은날|메밀꽃 필 무렵|국악방송|겨울연가|분홍돌고래|어스토니시아 스토리2|어스토니시아 스토리1|고스트x|미안하다, 사랑한다|미안하다 사랑한다|관운|모험왕 장보고|순수한 기쁨|히치콕의 어떤 하루|메밀꽃, 운수 좋은 날, 그리고 봄봄",20112027,한혜진,감독,85761,2,42880.5,-0.381740583,-0.015974973,0.518259417,2.984025027
722,숀더쉽,10020144,리처드 스타잭,감독,85568,1,85568,-0.381808259,-0.016042649,0.518191741,2.983957351
723,숀더쉽,10024185,마크 버튼,감독,85568,1,85568,-0.381808259,-0.016042649,0.518191741,2.983957351
724,레전드 오브 래빗,20126389,순리준,감독,85184,1,85184,-0.381942911,-0.016177301,0.518057089,2.983822699
725,"젊은 교황|유스|사랑해, 리우|그레이트 뷰티|아버지를 위한 노래|일 디보|패밀리 프렌드|사랑의 결과|엑스트라 맨",10082236,파올로 소렌티노,감독,85166,1,85166,-0.381949223,-0.016183612,0.518050777,2.983816388
726,공동정범|모든 날의 촛불|노라노|두 개의 문|종로의 기적|레즈비언 정치도전기|3xFTM|3×FTM|마마상,10005439,김일란,감독,84485,2,42242.5,-0.382188019,-0.016422409,0.517811981,2.983577591
727,지랄발광 17세,10076101,켈리 프레몬,감독,83258,1,83258,-0.382618273,-0.016852663,0.517381727,2.983147337
