rank,mname,director,provider,date,country,n_scrn,guest,genre,rating,grade,actor,director_score,director_grade,actor_score,actor_grade,grene_score,grene_grade,provider1_power,providera_grade,provider2_power,providerb_grade
"1,027",로덴시아: 마법왕국의 전설,데이비드 비스바노,(주)영화사 빅,2013-10-02,페루,221,98575,애니메이션,전체관람가,7.43,헤르난 브라보|나탈리아 로스미나티|엔리크 포셀라나|리카르도 알라니스|,4.699094781, ,0,,1.252042572,,Na,Na,2.04346,d
"1,028",빌리와 용감한 녀석들 3,척 파워스,롯데쇼핑㈜롯데엔터테인먼트,2015-04-30,미국,343,98495,애니메이션,전체관람가,8.16,숀 애스틴|엄상현|조현정|,16.50288644, ,4.999924324,,1.252042572,,11.42832,a,11.42832,a
"1,029",김광석,이상호,(주)비엠컬쳐스,2017-08-30,한국,223,98231,다큐멘터리,15세이상관람가,8.74,김광석|이상호|박학기|한동준|,0, ,4.778098365,,-0.526953931,,Na,Na,Na,Na
"1,030",맥베스,저스틴 커젤,판씨네마(주),2015-12-03,영국,141,98161,드라마,15세이상관람가,7.82,마이클 패스벤더|마리옹 꼬띠아르|,4.125059528, ,6.002878019,,3.619562379,c,2.13094,c,2.13094,d
"1,031",이웃집에 신이 산다,자코 반 도마엘,(주)엣나인필름,2015-12-24,벨기에,73,97883,코미디,청소년관람불가,7.1,브누와 뽀엘부르드|욜랜드 모로|까뜨린느 드뇌브|프랑소아 다미앙|필리 그로인|,2.791735668, ,4.781094597,,1.119723488,,Na,Na,1.21321,e
"1,032",레이디 버드,그레타 거윅,유니버설픽쳐스인터내셔널 코리아(유),2018-04-04,미국,345,97777,코미디,15세이상관람가,8.45,시얼샤 로넌|,12.36267795, ,5.013712777,,2.119659045,,7.81252,a,7.81252,b
"1,033",인류멸망 보고서,김지운,"롯데쇼핑㈜롯데엔터테인먼트,타임스토리그룹(주)",2012-04-11,한국,236,97555,SF,15세이상관람가,4.79,류승범|송새벽|김강우|송영창|김규리|고준희|진지희|,16.50288644, ,5.496432781,,0.638686766,,11.42832,a,11.42832,a
"1,034",쓰리 빌보드,마틴 맥도나,이십세기폭스코리아(주),2018-03-15,미국,110,97079,코미디,15세이상관람가,8.88,프란시스 맥도맨드|우디 해럴슨|샘 록웰|,8.987948142,e,5.590615556,,1.58719051,,7.06657,b,7.06657,b
"1,035",다크타워: 희망의 탑,니콜라이 아르셀,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-08-23,미국,497,97017,액션,15세이상관람가,7.41,이드리스 엘바|매튜 맥커너히|톰 테일러|,1.451032978, ,6.281913279,,1.70034852,,1.4412,e,1.4412,e
"1,036",슈퍼 빼꼼: 스파이 대작전,임아론,메가박스중앙(주)플러스엠,2017-05-03,한국,358,97005,애니메이션,전체관람가,8.34,김태균|최정현|,4.031018854, ,4.789283304,,1.32870461,,2.95141,c,2.95141,d
