rank,mname,director,provider,date,country,n_scrn,guest,genre,rating,grade,actor,director_score,director_grade,actor_score,actor_grade,grene_score,grene_grade,provider1_power,providera_grade,provider2_power,providerb_grade
554,침묵,정지우,씨제이이앤엠(주),2017-11-02,한국,634,487897,드라마,15세이상관람가,7.76,최민식|박신혜|류준열|이하늬|,19.94668544, ,8.280914852,d,3.619562379,c,16.58469,a,16.58469,a
555,해어화,박흥식,롯데쇼핑㈜롯데엔터테인먼트,2016-04-13,한국,572,485083,사극,15세이상관람가,7.98,한효주|유연석|천우희|박성웅|,16.50288644, ,6.898095129,,3.6885259,b,11.42832,a,11.42832,a
556,계춘할망,창,(주)콘텐츠 난다긴다,2016-05-19,한국,526,480987,가족,15세이상관람가,8.78,윤여정|김고은|,0, ,5.783939078,,1.094120082,,Na,Na,Na,Na
557,소녀괴담,오인천,(주)리틀빅픽쳐스,2014-07-02,한국,455,480528,미스터리,15세이상관람가,5.47,강하늘|김소은|,3.274940472, ,6.163823207,,-0.120576009,,1.65901,d,1.65901,e
558,조선미녀삼총사,박제현,(주)쇼박스,2014-01-29,한국,388,480361,코미디,12세이상관람가,4.04,하지원|강예원|가인|고창석|주상욱|,7.542282897, ,5.790561981,,2.128601877,,9.42794,a,9.42794,a
559,넛잡: 땅콩 도둑들,피터 레페니오티스,(주)싸이더스,2014-01-29,한국,382,478392,애니메이션,전체관람가,6.68,윌 아넷|캐서린 헤이글|리암 니슨|브렌든 프레이저|,0, ,5.613568036,,1.236377895,,0.84913,e,Na,Na
560,"로봇, 소리",이호재,롯데쇼핑㈜롯데엔터테인먼트,2016-01-27,한국,609,476665,드라마,12세이상관람가,8.47,이성민|이희준|이하늬|김원해|채수빈|심은경|,16.50288644, ,6.213080595,,3.619562379,c,11.42832,a,11.42832,a
561,트리플 엑스 리턴즈,D.J. 카루소,롯데쇼핑㈜롯데엔터테인먼트,2017-02-08,미국,590,475309,액션,15세이상관람가,7.05,빈 디젤|사무엘 L. 잭슨|니나 도브레브|루비 로즈|,16.50288644, ,7.107626713,,1.822541346,,11.42832,a,11.42832,a
562,위험한 상견례 2,김진영,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",2015-04-29,한국,429,472693,멜로/로맨스,15세이상관람가,6.68,진세연|홍종현|신정근|전수경|김응수|,9.294967067, ,5.365007419,,0.723544983,,11.42832,a,11.42832,a
563,잠베지아: 신비한 나무섬의 비밀,웨인 쏜리,롯데쇼핑㈜롯데엔터테인먼트,2012-12-25,남아프리카공화국,273,472692,애니메이션,전체관람가,8.71,사무엘 L. 잭슨|아비게일 브레스린|제프 골드브럼|레너드 니모이|제레미 슈어레즈|,16.50288644, ,7.332498906,,1.468025358,,11.42832,a,11.42832,a
564,슈퍼 에이트,J.J. 에이브럼스,씨제이이앤엠(주),2011-06-16,미국,411,472118,SF,12세이상관람가,6.8,조엘 코트니|카일 챈들러|엘르 패닝|조엘 맥키넌 밀러|라일리 그리피스|라이언 리|가브리엘 바쏘|자크 밀스|,19.94668544, ,4.976661469,,0,,16.58469,a,16.58469,a
565,카운트다운,허종호,"(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)",2011-09-29,한국,341,471547,드라마,청소년관람불가,7.35,정재영|전도연|,5.72242937, ,6.001077295,,0,,5.06817,c,9.28721,a
566,명탐정 코난 : 화염의 해바라기,시즈노 코분,씨제이이앤엠(주),2015-08-05,일본,433,470990,애니메이션,전체관람가,8.46,타카야마 미나미|야마자키 와카나|코야마 리키야|야마구치 캇페이|김선혜|강수진|신용우|이현진|,19.94668544, ,4.87945578,,1.468025358,,16.58469,a,16.58469,a
567,리얼,이사랑,씨제이이앤엠(주),2017-06-28,한국,970,470105,액션,청소년관람불가,4.25,김수현|이성민|성동일|,19.94668544, ,7.623012053,,2.739466056,f,16.58469,a,16.58469,a
569,마담 뺑덕,임필성,씨제이이앤엠(주),2014-10-02,한국,536,465749,멜로/로맨스,청소년관람불가,6.67,정우성|이솜|박소영|,19.94668544, ,6.090620023,,0.459425979,,16.58469,a,16.58469,a
571,너의 췌장을 먹고 싶어,츠키카와 쇼,(주)넥스트엔터테인먼트월드(NEW),2017-10-25,일본,218,465495,드라마,12세이상관람가,8.07,하마베 미나미|키타무라 타쿠미|키타가와 케이코|오구리 슌|,11.44485874, ,4.837847472,,3.619562379,c,9.28721,a,9.28721,a
572,순수의 시대,안상훈,씨제이이앤엠(주),2015-03-05,한국,546,465492,사극,청소년관람불가,6.26,신하균|장혁|강한나|강하늘|,19.94668544, ,6.069930052,,3.6885259,b,16.58469,a,16.58469,a
574,락아웃: 익스트림미션,"제임스 매더스,스테판 St. 레게르",롯데쇼핑㈜롯데엔터테인먼트,2012-06-14,미국,374,462176,SF,15세이상관람가,6.45,가이 피어스|매기 그레이스|조셉 길건|,16.50288644, ,5.602091697,,1.315571,,11.42832,a,11.42832,a
575,라이프,다니엘 에스피노사,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-05,미국,647,459421,SF,15세이상관람가,7.24,제이크 질렌할|레베카 퍼거슨|라이언 레이놀즈|,1.451032978, ,5.598817813,,0.73198766,,1.4412,e,1.4412,e
577,노브레싱,조용선,(주)나이너스엔터테인먼트,2013-10-30,한국,584,451669,드라마,15세이상관람가,7.58,서인국|이종석|유리|,3.415606826, ,5.896898493,,2.355507819,,1.54395,d,1.54395,e
578,클라우드 아틀라스,"앤디 워쇼스키,라나 워쇼스키,톰 티크베어",(주)넥스트엔터테인먼트월드(NEW),2013-01-09,미국,382,449071,SF,청소년관람불가,8.22,톰 행크스|배두나|휴 그랜트|할리 베리|,11.44485874, ,5.309508416,,0.487602008,,9.28721,a,9.28721,a
579,히든 피겨스,데오도르 멜피,이십세기폭스코리아(주),2017-03-23,미국,448,448923,드라마,12세이상관람가,9.34,타라지 P. 헨슨|옥타비아 스펜서|자넬 모네|,8.987948142, ,5.590414302,,3.619562379,c,7.06657,b,7.06657,b
580,명탐정 코난:진홍의 연가,시즈노 코분,씨제이이앤엠(주),2017-08-02,일본,582,448381,애니메이션,12세이상관람가,8.82,타카야마 미나미|야마자키 와카나|코야마 리키야|호리카와 료|미야무라 유코|,19.94668544, ,4.821027273,,1.468025358,,16.58469,a,16.58469,a
581,빅쇼트,아담 맥케이,롯데쇼핑㈜롯데엔터테인먼트,2016-01-21,미국,489,446664,드라마,청소년관람불가,8.46,브래드 피트|크리스찬 베일|라이언 고슬링|스티브 카렐|,16.50288644, ,5.829454114,,3.619562379,c,11.42832,a,11.42832,a
582,반드시 잡는다,김홍선,(주)넥스트엔터테인먼트월드(NEW),2017-11-29,한국,565,446379,스릴러,15세이상관람가,7.58,백윤식|성동일|,11.44485874, ,8.659678391,d,0.871939002,,9.28721,a,9.28721,a
583,뽀로로 극장판 컴퓨터 왕국 대모험,박영균,(주)넥스트엔터테인먼트월드(NEW),2015-12-10,한국,544,445014,애니메이션,전체관람가,8.8,이선|이미자|함수정|홍소영|정미숙|김서영|김환진|엄상현|,11.44485874, ,5.110628011,,1.468025358,,9.28721,a,9.28721,a
584,헌츠맨: 윈터스 워,세딕 니콜라스 트로얀,유니버설픽쳐스인터내셔널 코리아(유),2016-04-13,미국,557,445009,액션,12세이상관람가,7.62,크리스 헴스워스|샤를리즈 테론|에밀리 블런트|제시카 차스테인|,12.36267795, ,7.710276102,,2.014906991,,7.81252,a,7.81252,b
586,익스펜더블 2,사이먼 웨스트,롯데쇼핑㈜롯데엔터테인먼트,2012-09-06,미국,393,444045,액션,15세이상관람가,7.7,실베스터 스탤론|제이슨 스타뎀|브루스 윌리스|아놀드 슈왈제네거|이연걸|장 끌로드 반담|,16.50288644, ,5.347737489,,2.014906991,,11.42832,a,11.42832,a
587,밀레니엄 : 여자를 증오한 남자들,데이빗 핀처,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-01-11,미국,321,443889,스릴러,청소년관람불가,8.04,다니엘 크레이그|루니 마라|,1.064678122, ,5.29306012,,0,,2.36147,e,2.36147,d
589,원라인,양경모,(주)넥스트엔터테인먼트월드(NEW),2017-03-29,한국,613,433825,범죄,15세이상관람가,8.17,임시완|진구|박병은|,11.44485874, ,6.146989405,,1.011387633,,9.28721,a,9.28721,a
590,"협녀, 칼의 기억",박흥식,롯데쇼핑㈜롯데엔터테인먼트,2015-08-13,한국,572,431310,사극,15세이상관람가,5.36,이병헌|전도연|김고은|,16.50288644, ,7.4799705,,3.336487371,d,11.42832,a,11.42832,a
591,터닝메카드W: 블랙미러의 부활,"홍헌표,김석원",씨네그루(주)키다리이엔티,2017-01-18,한국,570,429569,애니메이션,전체관람가,8.73,소연|신용우|윤아영|장광|강호철|안영미|윤미나|엄상현|정재헌|,2.33289481, ,4.897607172,,1.468025358,,1.16419,d,Na,Na
592,창수,이덕희,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트",2013-11-28,한국,415,429141,드라마,청소년관람불가,7.1,임창정|안내상|정성화|손은서|태성|,3.695667727, ,4.973543823,,3.619562379,c,0,0,2.31572,d
593,랭고,고어 버빈스키,씨제이이앤엠(주),2011-03-03,미국,314,428896,애니메이션,전체관람가,6.5,조니 뎁|,19.94668544, ,6.363876301,,0,,16.58469,a,16.58469,a
594,오피스,홍원찬,(주)리틀빅픽쳐스,2015-09-03,한국,425,428429,스릴러,15세이상관람가,6.42,고아성|박성웅|,3.274940472, ,6.594334492,,0.489751386,,1.65901,d,1.65901,e
595,모비딕,박인제,(주)쇼박스,2011-06-09,한국,377,428139,스릴러,15세이상관람가,7.22,황정민|진구|김민희|김상호|,7.542282897, ,8.811618966,d,0,,9.42794,a,9.42794,a
596,스머프: 비밀의 숲,캘리 애스버리,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-28,미국,607,427764,애니메이션,전체관람가,8.59,맨디 파틴킨|데미 로바토|레인 윌슨|조 맨가니엘로|잭 맥브레이어|,1.451032978, ,4.83042161,,0.645011969,,1.4412,e,1.4412,e
597,두 개의 달,김동빈,롯데쇼핑㈜롯데엔터테인먼트,2012-07-12,한국,347,425972,공포(호러),15세이상관람가,6.98,박한별|김지석|박진주|라미란|,16.50288644, ,5.27190221,,-0.176144965,,11.42832,a,11.42832,a
598,나를 잊지 말아요,이윤정,씨제이이앤엠(주),2016-01-07,한국,559,425799,멜로/로맨스,15세이상관람가,6.7,정우성|김하늘|,19.94668544, ,6.850379997,,0.459425979,,16.58469,a,16.58469,a
599,다이버전트,닐 버거,롯데쇼핑㈜롯데엔터테인먼트,2014-04-16,미국,511,424041,SF,15세이상관람가,7.77,쉐일린 우들리|케이트 윈슬렛|테오 제임스|제이 코트니|,16.50288644, ,5.172153092,,0.945529055,,11.42832,a,11.42832,a
600,티끌모아 로맨스,김정환,필라멘트픽쳐스,2011-11-10,한국,294,424002,멜로/로맨스,15세이상관람가,7.5,한예슬|송중기|,0, ,5.915283072,,0,,Na,Na,Na,Na
601,신이 보낸 사람,김진무,"(주)씨타마운틴픽쳐스,(주)마인스 엔터테인먼트",2014-02-13,한국,285,423026,드라마,15세이상관람가,8.09,김인권|,1.043523847, ,6.088413352,,3.619562379,c,0,0,0,0
602,흥부: 글로 세상을 바꾼 자,조근현,롯데쇼핑㈜롯데엔터테인먼트,2018-02-14,한국,627,416346,사극,12세이상관람가,4.44,정우|김주혁|정진영|,16.50288644, ,7.604617974,,3.734501581,a,11.42832,a,11.42832,a
603,무뢰한,오승욱,CGV아트하우스,2015-05-27,한국,482,414626,멜로/로맨스,청소년관람불가,7.77,전도연|김남길|박성웅|,4.951322077, ,6.292596737,,0.459425979,,2.77701,c,2.77701,d
604,늑대소년-확장판,조성희,씨제이이앤엠(주),2012-12-06,한국,278,414083,멜로/로맨스,15세이상관람가,8.64,송중기|박보영|,19.94668544, ,6.732971091,,1.367776677,,16.58469,a,16.58469,a
605,킹 아서: 제왕의 검,가이 리치,워너브러더스 코리아(주),2017-05-17,영국,588,412843,판타지,12세이상관람가,7.79,찰리 허냄|주드 로|,8.031584609,e,5.317941816,,1.137940931,,7.12231,b,7.12231,b
606,주온 : 끝의 시작,오치아이 마사유키,(주)넥스트엔터테인먼트월드(NEW),2014-07-16,일본,394,410644,공포(호러),15세이상관람가,6.34,사사키 노조미|아오야기 쇼|,11.44485874, ,4.827703296,,-0.176144965,,9.28721,a,9.28721,a
607,러빙 빈센트,"도로타 코비엘라,휴 웰치맨",판씨네마(주),2017-11-09,영국,272,408322,애니메이션,15세이상관람가,9.19,더글러스 부스|제롬 플린|시얼샤 로넌|에이단 터너|,4.125059528, ,4.920523693,,0.8474032,,2.13094,c,2.13094,d
608,넛잡 2,캘런 브런커,롯데쇼핑㈜롯데엔터테인먼트,2017-10-03,한국,526,407727,애니메이션,전체관람가,8.78,윌 아넷|캐서린 헤이글|성룡|이사벨라 모너|마야 루돌프|,16.50288644, ,5.012778548,,1.236377895,,11.42832,a,11.42832,a
609,니코: 산타비행단의 모험,"캐리 주스넌,요르겐 레르담",씨너스엔터테인먼트(주),2012-12-25,핀란드,306,407264,애니메이션,전체관람가,8.46,카리 히타라티|,2.628744297, ,4.82716662,,0.894531574,,1.26444,d,1.26444,e
610,나의 소녀시대,프랭키 첸,오드,2016-05-12,대만,176,406284,멜로/로맨스,15세이상관람가,8.8,송운화|왕대륙|이옥새|간정예|,0, ,4.836712473,,1.723480539,,Na,Na,Na,Na
611,좋은 친구들,이도윤,씨제이이앤엠(주),2014-07-10,한국,371,404456,범죄,청소년관람불가,7.77,지성|주지훈|이광수|,19.94668544, ,6.220253348,,2.054657531,,16.58469,a,16.58469,a
612,아메리칸 메이드,더그 라이만,유니버설픽쳐스인터내셔널 코리아(유),2017-09-14,미국,691,401541,범죄,15세이상관람가,7.71,톰 크루즈|사라 라이트|도널 글리슨|,12.36267795, ,7.411487661,,1.702619002,,7.81252,a,7.81252,b
613,닌자터틀,조나단 리브스만,씨제이이앤엠(주),2014-08-28,미국,479,400329,액션,12세이상관람가,7.71,메간 폭스|앨런 리치슨|노엘 휘셔|윌 아넷|윌리암 피츠너|조니 녹스빌|피터 플로스잭|제레미 하워드|토호루 마사무네|,19.94668544, ,4.844089391,,1.872098244,,16.58469,a,16.58469,a
614,판타스틱 4,조쉬 트랭크,이십세기폭스코리아(주),2015-08-20,미국,451,399667,액션,12세이상관람가,4.26,마이클 B. 조던|케이트 마라|마일즈 텔러|제이미 벨|토비 켑벨|,8.987948142, ,5.39122197,,1.575762842,,7.06657,b,7.06657,b
615,사랑이 무서워,정우철,롯데쇼핑㈜롯데엔터테인먼트,2011-03-10,한국,290,397923,코미디,15세이상관람가,6.99,임창정|김규리|,16.50288644, ,5.1511386,,0,,11.42832,a,11.42832,a
616,몬스터 패밀리,호거 태프,씨네그루(주)키다리이엔티,2017-12-21,독일,617,397633,애니메이션,전체관람가,8.34,에밀리 왓슨|닉 프로스트|제시카 브라운 핀들레이|셀리아 아임리|캐서린 테이트|제이슨 아이삭스|,2.33289481, ,4.806301144,,1.468025358,,1.16419,d,Na,Na
619,피터 래빗,윌 글럭,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-05-16,미국,599,387795,애니메이션,전체관람가,8.9,도널 글리슨|로즈 번|샘 닐|제임스 코든|,1.451032978, ,5.151675317,,0.645011969,,1.4412,e,1.4412,e
620,론 레인저,고어 버빈스키,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-07-04,미국,401,387527,액션,15세이상관람가,7.29,조니 뎁|헬레나 본햄 카터|아미 해머|,3.693503506, ,5.855575261,,2.014906991,,3.6996,c,3.6996,c
621,내 심장을 쏴라,문제용,"(주)리틀빅픽쳐스,(주)이수C&E",2015-01-28,한국,452,387409,드라마,15세이상관람가,7.69,이민기|여진구|,3.66423901, ,5.854927624,,3.619562379,c,1.78524,c,1.78524,e
622,나의 독재자,이해준,롯데쇼핑㈜롯데엔터테인먼트,2014-10-30,한국,654,385934,드라마,15세이상관람가,7.43,설경구|박해일|,16.50288644, ,8.17869857,d,3.619562379,c,11.42832,a,11.42832,a
623,천재 강아지 미스터 피바디,롭 민코프,씨제이이앤엠(주),2014-04-24,미국,533,385552,애니메이션,전체관람가,8.43,타이 버렐|맥스 찰스|아리엘 윈터|레슬리 만|스탠리 투치|스티븐 토보로스키|엘리 켐퍼|,19.94668544, ,5.093868502,,0.894531574,,16.58469,a,16.58469,a
624,언더 워터,자움 콜렛 세라,유니버설픽쳐스인터내셔널 코리아(유),2016-07-13,미국,518,384789,공포(호러),15세이상관람가,8.06,블레이크 라이블리|,12.36267795, ,4.853170971,,0.243088622,,7.81252,a,7.81252,b
625,크로니클,조쉬 트랭크,이십세기폭스코리아(주),2012-03-15,미국,324,383862,액션,15세이상관람가,7.58,마이클 B. 조던|알렉스 러셀|데인 드한|애슐리 힌쇼|,8.987948142, ,4.880273047,,1.992455235,,7.06657,b,7.06657,b
626,보통사람,김봉한,오퍼스픽쳐스,2017-03-23,한국,621,383336,드라마,15세이상관람가,7.98,손현주|장혁|,0, ,6.606612392,,3.619562379,c,0.68052,e,Na,Na
627,소수의견,김성제,(주)시네마서비스,2015-06-24,한국,398,383332,드라마,15세이상관람가,7.94,윤계상|유해진|김옥빈|,0, ,8.481765815,d,3.619562379,c,Na,Na,Na,Na
629,대장 김창수,이원태,"씨네그루(주)키다리이엔티,주식회사 키위컴퍼니",2017-10-19,한국,748,380581,드라마,12세이상관람가,6.95,조진웅|송승헌|,2.33289481, ,8.800813868,d,3.619562379,c,1.16419,d,0,0
630,스토커,박찬욱,이십세기폭스코리아(주),2013-02-28,미국,329,378729,드라마,청소년관람불가,7.28,미아 와시코브스카|매튜 구드|니콜 키드먼|,8.987948142, ,5.003215568,,2.520513028,g,7.06657,b,7.06657,b
631,컨트롤러,조지 놀피,유니버설픽쳐스인터내셔널 코리아(유),2011-03-03,미국,371,373344,스릴러,12세이상관람가,7.21,맷 데이먼|에밀리 블런트|,12.36267795, ,6.163707932,,0,,7.81252,a,7.81252,b
632,눈의 여왕 3: 눈과 불의 마법대결,알렉세이 트시칠린,(주)이수C&E,2017-01-04,러시아,526,366442,애니메이션,전체관람가,8.57,박지윤|엄상현|남도형|박상훈|이재범|,4.053537547, ,4.89093371,,0.894531574,,1.91147,c,1.91147,e
633,그레이의 50가지 그림자,샘 테일러-존슨,유니버설픽쳐스인터내셔널 코리아(유),2015-02-26,미국,512,364415,드라마,청소년관람불가,6.05,다코타 존슨|제이미 도넌|제니퍼 엘|루크 그림즈|,12.36267795, ,4.85329089,,2.355507819,,7.81252,a,7.81252,b
634,레드 라이딩 후드,캐서린 하드윅,워너브러더스 코리아(주),2011-03-17,미국,249,362572,드라마,15세이상관람가,7,아만다 사이프리드|게리 올드만|,8.031584609, ,6.314971351,,0,,7.12231,b,7.12231,b
635,홈,팀 존슨,씨제이이앤엠(주),2015-05-21,미국,532,360556,애니메이션,전체관람가,8.37,짐 파슨스|제니퍼 로페즈|리아나|스티브 마틴|,19.94668544, ,4.936285836,,1.064628171,,16.58469,a,16.58469,a
637,클로버필드 10번지,댄 트라첸버그,롯데쇼핑㈜롯데엔터테인먼트,2016-04-07,미국,575,356976,미스터리,15세이상관람가,7.56,메리 엘리자베스 윈스티드|존 굿맨|존 갤러거 주니어|,16.50288644, ,4.985102953,,0.298657578,,11.42832,a,11.42832,a
638,경성학교: 사라진 소녀들,이해영,롯데쇼핑㈜롯데엔터테인먼트,2015-06-18,한국,489,356342,미스터리,15세이상관람가,6.13,박보영|엄지원|박소담|,16.50288644, ,6.238628585,,1.397706929,,11.42832,a,11.42832,a
639,어쌔신 크리드,저스틴 커젤,이십세기폭스코리아(주),2017-01-11,미국,566,355913,액션,15세이상관람가,7.11,마이클 패스벤더|마리옹 꼬띠아르|제레미 아이언스|아리안 라베드|브렌단 글리슨|마이클 K. 윌리엄즈|,8.987948142, ,5.397893111,,1.70034852,,7.06657,b,7.06657,b
641,석조저택 살인사건,"정식,김휘",씨네그루(주)키다리이엔티,2017-05-09,한국,539,351830,스릴러,15세이상관람가,7.28,고수|김주혁|문성근|박성웅|,2.33289481, ,6.379941898,,0.871939002,,1.16419,d,Na,Na
642,커플즈,정용기,(주)싸이더스,2011-11-02,한국,387,351779,멜로/로맨스,15세이상관람가,7.93,김주혁|이시영|이윤지|오정세|공형진|,0, ,5.694766969,,0,,0.84913,e,Na,Na
643,미드나잇 인 파리,우디 알렌,"(주)드림팩트엔터테인먼트,(주)나이너스엔터테인먼트",2012-07-05,미국,189,351555,코미디,15세이상관람가,8.56,오웬 윌슨|마리옹 꼬띠아르|레이첼 맥아담스|애드리언 브로디|카를라 브루니|캐시 베이츠|마이클 쉰|,1.707803413, ,5.307746665,,0.749884512,,1.54395,d,1.54395,e
644,싱글라이더,이주영,워너브러더스 코리아(주),2017-02-22,한국,576,351276,드라마,15세이상관람가,8.22,이병헌|공효진|안소희|,8.031584609, ,7.883515652,,3.619562379,c,7.12231,b,7.12231,b
646,오즈 그레이트 앤드 파워풀,샘 레이미,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-03-07,미국,425,350563,판타지,전체관람가,7.16,밀라 쿠니스|제임스 프랭코|레이첼 와이즈|미셸 윌리엄스|,3.693503506, ,5.100366478,,0.956801164,,3.6996,c,3.6996,c
647,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,유야마 쿠니히코,씨제이이앤엠(주),2012-12-19,일본,275,348883,애니메이션,전체관람가,8.14,오오타니 이쿠에|마츠모토 리카|미야노 마모루|,19.94668544, ,4.852289477,,1.468025358,,16.58469,a,16.58469,a
648,7호실,이용승,롯데쇼핑㈜롯데엔터테인먼트,2017-11-15,한국,629,347790,코미디,15세이상관람가,6.59,신하균|디오|,16.50288644, ,6.161301939,,1.119723488,,11.42832,a,11.42832,a
649,치외법권,신동엽,판씨네마(주),2015-08-27,한국,446,346483,액션,15세이상관람가,5.98,임창정|최다니엘|,4.125059528, ,5.406460625,,2.739466056,f,2.13094,c,2.13094,d
651,링컨: 뱀파이어 헌터,티무르 베크맘베토브,이십세기폭스코리아(주),2012-08-30,미국,337,344876,액션,청소년관람불가,6.78,벤자민 워커|도미닉 쿠퍼|루퍼스 스웰|메리 엘리자베스 윈스티드|,8.987948142, ,5.025494133,,1.596085736,,7.06657,b,7.06657,b
652,아메리칸 스나이퍼,클린트 이스트우드,워너브러더스 코리아(주),2015-01-14,미국,308,344766,액션,청소년관람불가,8.67,브래들리 쿠퍼|시에나 밀러|제이크 맥더맨|루크 그림즈|카일 갈너|,8.031584609, ,5.685182744,,2.739466056,f,7.12231,b,7.12231,b
653,숲속으로,롭 마샬,월트디즈니컴퍼니코리아(주),2014-12-24,미국,356,341882,뮤지컬,전체관람가,4.92,안나 켄드릭|조니 뎁|에밀리 블런트|크리스 파인|루시 펀치|메릴 스트립|제임스 코든|,2.371793167, ,5.491945545,,-0.723565994,,4.33116,c,4.33116,c
654,하이힐,장진,롯데쇼핑㈜롯데엔터테인먼트,2014-06-03,한국,385,339844,범죄,청소년관람불가,7.75,차승원|오정세|이솜|,16.50288644, ,5.069402105,,1.702619002,,11.42832,a,11.42832,a
656,패딩턴 2,폴 킹,(주)이수C&E,2018-02-08,프랑스,629,335906,코미디,전체관람가,9.09,벤 위쇼|휴 그랜트|샐리 호킨스|휴 보네빌|사무엘 조슬린|매들린 해리스|줄리 월터스|,4.053537547, ,4.935473266,,2.119659045,,1.91147,c,1.91147,e
657,늑대아이,호소다 마모루,(주)미디어데이,2012-09-13,일본,226,335706,애니메이션,전체관람가,9.12,미야자키 아오이|오오사와 타카오|쿠로키 하루|니시이 유키토|오노 모모카|,0, ,4.817163481,,0.904190336,,Na,Na,Na,Na
658,미나문방구,정익환,롯데쇼핑㈜롯데엔터테인먼트,2013-05-16,한국,385,334323,드라마,전체관람가,7.07,최강희|봉태규|,16.50288644, ,4.822228086,,2.619626823,g,11.42832,a,11.42832,a
659,내 사랑,에이슬링 월쉬,오드,2017-07-12,아일랜드,233,333935,드라마,12세이상관람가,9.18,에단 호크|샐리 호킨스|,0, ,5.046024981,,2.355507819,,Na,Na,Na,Na
661,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,하시모토 마사카즈,씨제이이앤엠(주),2017-07-20,일본,547,333082,애니메이션,전체관람가,8.68,박영남|양정화|,19.94668544, ,4.854797751,,1.468025358,,16.58469,a,16.58469,a
662,남영동1985,정지영,"씨너스엔터테인먼트(주),(주)엣나인필름",2012-11-22,한국,310,332619,드라마,15세이상관람가,7.21,박원상|이경영|,2.710239983, ,7.327049497,,3.619562379,c,1.26444,d,1.23882,e
663,에베레스트,발타자르 코루마쿠르,유니버설픽쳐스인터내셔널 코리아(유),2015-09-24,미국,331,332180,어드벤처,12세이상관람가,7.59,제이크 질렌할|로빈 라이트|키이라 나이틀리|제이슨 클락|조슈 브롤린|샘 워싱턴|,12.36267795, ,5.754804803,,1.72429071,,7.81252,a,7.81252,b
664,위자: 저주의 시작,마이크 플래너건,유니버설픽쳐스인터내셔널 코리아(유),2016-11-09,미국,467,331877,공포(호러),12세이상관람가,7.2,헨리 토마스|엘리자베스 리저|애너리즈 바쏘|룰루 윌슨|,12.36267795, ,4.816385618,,-0.176144965,,7.81252,a,7.81252,b
665,무서운 이야기,"정범식,임대웅,홍지영,김곡,김선,민규동",롯데쇼핑㈜롯데엔터테인먼트,2012-07-25,한국,274,331760,공포(호러),청소년관람불가,6.68,김지영|정은채|남보라|배수빈|김현수|노강민|진태현|최윤영|나영희|김예원|조한철|유연석|김지원|,16.50288644, ,5.107656591,,-0.176144965,,11.42832,a,11.42832,a
667,선 오브 갓,크리스토퍼 스펜서,(주)프레인글로벌,2014-04-10,미국,419,329029,드라마,12세이상관람가,7.94,디오고 모르가도|세바스찬 냅|다윈 쇼|,0, ,4.814744468,,3.619562379,c,Na,Na,Na,Na
668,링컨 차를 타는 변호사,브래드 퍼맨,씨너스엔터테인먼트(주),2011-06-16,미국,241,327612,범죄,15세이상관람가,8.15,매튜 맥커너히|마리사 토메이|라이언 필립|윌리암 H. 머시|,2.628744297, ,4.818105206,,0,,1.26444,d,1.26444,e
669,잭 라이언 : 코드네임 쉐도우,케네스 브래너,씨제이이앤엠(주),2014-01-16,미국,419,327591,액션,12세이상관람가,7.4,크리스 파인|키이라 나이틀리|케빈 코스트너|,19.94668544, ,5.846087628,,2.629989542,g,16.58469,a,16.58469,a
671,사랑하기 때문에,주지홍,(주)넥스트엔터테인먼트월드(NEW),2017-01-04,한국,542,324420,코미디,12세이상관람가,8.05,차태현|김유정|서현진|임주환|,11.44485874, ,5.859784823,,0.855604485,,9.28721,a,9.28721,a
672,희생부활자,곽경택,(주)쇼박스,2017-10-12,한국,781,323628,미스터리,15세이상관람가,6.14,김래원|김해숙|,7.542282897, ,6.584959248,,0.298657578,,9.42794,a,9.42794,a
673,옥자,봉준호,(주)넥스트엔터테인먼트월드(NEW),2017-06-29,미국,111,321550,어드벤처,12세이상관람가,8.45,틸다 스윈튼|폴 다노|안서현|,11.44485874,e,5.630051582,,2.009786489,,9.28721,a,9.28721,a
674,블레이드 러너 2049,드니 빌뇌브,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-10-12,미국,664,321018,SF,15세이상관람가,7.97,라이언 고슬링|해리슨 포드|,1.451032978,d,5.465391737,,1.478998482,,1.4412,e,1.4412,e
675,극적인 하룻밤,하기호,CGV아트하우스,2015-12-03,한국,434,320923,멜로/로맨스,청소년관람불가,6.55,윤계상|한예리|박병은|박효주|,4.951322077, ,5.404654146,,0.723544983,,2.77701,c,2.77701,d
